GeneSymbol	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells
ENO1-AS1	2.0	2.0	4.0	4.0	2.0	3.0	3.0	2.0	1.0	2.0
CA6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC2A7	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
SLC2A5	4.0	4.0	1.0	4.0	4.0	4.0	4.0	2.0	4.0	1.0
GPR157	2.0	4.0	1.0	2.0	6.0	4.0	4.0	2.0	4.0	2.0
MIR34AHG	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
LNCTAM34A	2.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	2.0
H6PD	0.0	1.0	1.0	0.0	2.0	1.0	1.0	2.0	2.0	2.0
SPSB1	13.0	13.0	10.0	5.0	13.0	10.0	10.0	14.0	12.0	10.0
BX323043.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC02606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A33	9.0	11.0	9.0	9.0	11.0	5.0	10.0	11.0	12.0	10.0
TMEM201	3.0	3.0	4.0	2.0	3.0	3.0	0.0	3.0	1.0	0.0
PIK3CD	4.0	3.0	3.0	3.0	3.0	3.0	1.0	2.0	4.0	3.0
PIK3CD-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PIK3CD-AS2	1.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0
CLSTN1	5.0	12.0	11.0	13.0	10.0	5.0	12.0	11.0	13.0	14.0
CTNNBIP1	4.0	6.0	5.0	4.0	1.0	4.0	3.0	5.0	6.0	7.0
AL357140.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL357140.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LZIC	12.0	8.0	12.0	14.0	10.0	9.0	16.0	12.0	13.0	12.0
AL357140.2	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0
