Sample ID,Sample Name,Donor,Cell Type,Study Design,Study Design Batch,Treatment
43,D4_INT_HEP_PI_1,D4,LIVER HEP,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,POLY IC
44,D4_INT_HEP_PI_2,D4,LIVER HEP,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,POLY IC
45,D4_INT_HEP_LPS_1,D4,LIVER HEP,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,LPS
46,D4_INT_HEP_LPS_2,D4,LIVER HEP,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,LPS
47,D4_INT_HEP_5OP_1,D4,LIVER HEP,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,5OP-RU
48,D4_INT_HEP_5OP_2,D4,LIVER HEP,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,5OP-RU
49,D4_INT_HEP_C_1,D4,LIVER HEP,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,NO TREATMENT
50,D4_INT_HEP_C_2,D4,LIVER HEP,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,NO TREATMENT
51,D4_INT_HEP_GL_C,D4,LIVER HEP,INTERACTION (INT) GUT-LIVER (GL),INTERACTION (INT) GUT-LIVER (GL),NO TREATMENT
52,D3_INT_HEP_PI_1,D3,LIVER HEP,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,POLY IC
53,D3_INT_HEP_PI_2,D3,LIVER HEP,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,POLY IC
54,D3_INT_HEP_LPS_1,D3,LIVER HEP,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,LPS
55,D3_INT_HEP_LPS_2,D3,LIVER HEP,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,LPS
56,D3_INT_HEP_5OP_1,D3,LIVER HEP,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,5OP-RU
57,D3_INT_HEP_5OP_2,D3,LIVER HEP,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,5OP-RU
