GeneSymbol	D3_ISO7_IEL_1	D3_ISO7_IEL_2	D4_ISO7_IEL_1	D4_ISO7_IEL_2
SYT7	4.46	0	0	0
LARS2	144.45	0.07	0	0
PIK3C2A	2.63	13.05	0	3.61
PLAUR	0	0	0	0
ANLN	15.72	0	0	0
WIZ	0	59.26	0	0.31
RABGAP1	0	5.88	0	38.73
DCN	0	48.02	0	0
QPCTL	0	0	0	0
PPP5C	50.2	27.37	0	0
CEP68	5.28	70.42	0	114.8
MAP4K3	0	3.61	0	0
ZBTB32	5.94	0	0	0
TYROBP	74.17	0	0	0
TMEM159	0	0	0	0
GABRA3	0	0	0	0
BRCA1	22.89	24.49	0	0
ERCC1	48.27	30.51	0	0
CD22	148.81	9.84	0	0
SEMA3B	0	0	0	0
MBTPS2	0	3.89	0	0
PRICKLE3	0	0	0	0
LTF	0	0	0	0
EXTL3	0	4.22	0	0
NR1H4	0	0	0	0
ELOVL5	45.77	0	0	0
ALOX5	0	179.01	0	54.69
KDM5D	0	0	0	0
CALCOCO1	1.1	46.68	0	99.74
UBR7	132.37	0	0	0
MAP4K5	2.6	4.99	0	0
EHD3	8.71	15.65	0	0
PSMC4	50.66	82.32	0	0
MAN2B2	4	0	0	0
SLC7A14	0	4.44	0	0
CLDN11	18.31	0	0	0
SLC25A39	0	0	0	0
MVP	45.63	4.57	0	322.55
NUB1	21.72	138.05	0	0
PGM3	0	13.87	0	0
RWDD2A	0	0	0	0
CLK1	57.7	19.62	3.91	11.11
POLR3B	0	16.62	0	0
ANGEL1	0	12.03	0	0
RNF14	135.74	4.51	0	59.89
DNASE1L1	0	0.14	0	0
DDX11	5.84	0	0	0
HEBP1	0	0	0	0
GPRC5A	54	0	0	0
MAMLD1	0	4.57	0	0
CD6	4.52	0	0	0
TACC3	60.56	0	0	57.03
UFL1	9.26	1.03	0	0
POLA2	29.43	7.4	0	0
ZC3H3	16.26	0	0	0
CAPN1	0	0	0	1306.34
ACPP	0	0	0	0
MDH1	114.78	34.81	6.68	0
SLC30A9	1.7	16.81	0	30.29
MTMR11	0	0	0	0
COX15	0	3.19	0	0
CCDC88C	17.98	78.86	0	9.33
YAF2	0	15.39	0	0
ZMYND11	11.81	70.26	0	0
WAS	10.65	29.39	0	1
DPEP1	0	0	0	0
