GeneSymbol	D3_ISO1_HEP_L_1	D3_ISO1_HEP_L_2	D3_ISO2_HEP_1	D3_ISO2_HEP_2	D3_INT_HEP_PI_1	D3_INT_HEP_PI_2	D3_INT_HEP_LPS_1	D3_INT_HEP_LPS_2	D3_INT_HEP_5OP_1	D3_INT_HEP_5OP_2	D3_INT_HEP_C_1	D3_INT_HEP_C_2	D3_INT_HEP_GL_C
ITGAL	4.96	7.77	2.97	3.63	0.64	0.89	1.21	1.42	1.51	2.34	1.39	1.14	0.9
PDK2	3.78	3.91	4.14	5.21	1.98	3.12	3.86	2.5	3.62	2.14	2.68	3.53	3.2
ITGA3	40.4	44.34	56.68	43.63	29.37	21.87	32.61	24.8	42.51	21.35	34.11	28.55	36.28
ZFX	4.64	6.61	6.35	6.04	3.26	2.44	3.01	3.22	3.52	3.32	3.98	2.49	2.9
LAMP2	15.74	17.95	22.88	19.77	12.75	13.8	12.79	11.91	11.12	11.99	12.04	12.71	13.57
ITGA2B	0.25	0.08	0	0.04	0.8	0	0.01	0.05	0.06	0	0.09	0.03	0.13
ASB4	0.05	0.14	0.25	0.06	0.01	0.07	0.03	0.01	0	0.02	0	0.02	0.03
GDE1	5.83	7.01	8.13	7.66	7.67	7.16	6.9	6.74	8.35	6.33	7.08	6.43	9.25
REX1BD	4.07	5.05	7.54	4.48	13.73	16.15	8.28	5.25	6.63	3.57	4.06	4.49	6.46
CRLF1	1.63	0.54	0.56	0.53	0.27	0.22	0.46	0.16	0.1	0.35	0.88	0.24	0.57
OSBPL7	0.1	0.14	0.54	0.12	0.05	0.32	0	0.22	0.28	0.03	0.1	0.08	0.06
TMEM98	2.21	2.78	2.9	3.73	2.67	4.85	4.2	5.45	2.95	3.47	4.08	4.14	3.29
YBX2	0.09	0.13	0.65	0.03	0.02	0.74	0.07	0	0.07	0	0.06	0.09	0.06
KRT33A	0.03	0.02	0	0	0.14	0	0	0	0.01	0	0.08	0	0
MAP3K14	4.62	4.85	4.4	3.93	4.43	5.01	5.27	5.31	5.61	5.09	5.55	4.59	4.59
ABCC8	0.96	0.34	0.55	0.45	0.26	0.09	0.01	0.01	0.17	0.1	0.16	0.22	0.26
CACNG3	0.15	0.12	0	0.03	0.06	0	0	0	0	0.01	0.02	0.05	0.07
TMEM132A	7.75	9.53	7.26	6.19	7.67	6.64	6.81	5.83	7.15	5.37	6.21	5.81	8.21
AP2B1	15.69	17.53	24.82	18.31	15.99	13.54	22.57	13.13	17.81	17.03	20.07	15.78	18.06
TAC1	0.74	0	0	0.09	0	0	0	0	0	0	0	0	0
ZNF263	2.58	3.83	2.74	3.02	3.57	2.64	2.93	2.72	2.94	2.81	2.81	1.54	2.08
CX3CL1	20.19	23.94	2.4	2.13	2.4	3.09	4.72	3.11	5.63	2.8	3.6	5.37	2.34
SPATA20	7.13	9.49	10.52	10.38	4.45	10.84	5.39	3.52	5.48	3.85	4.29	4.45	4.93
CACNA1G	0.24	0.11	0.06	0.02	0.01	0.01	0.02	0.05	0.03	0.07	0.02	0.02	0.09
TNFRSF12A	20.45	21.1	30.25	20.33	34.01	30.79	30.66	27.73	30.72	16.33	16.8	17.19	34.18
DLX6	0.09	0.16	0	0.04	0.05	0	0	0	0.04	0.05	0.04	0.03	0.03
MAP3K9	1.08	2.23	2.91	2.35	2.05	1.01	2.66	1.74	2.83	1.69	2.64	1.93	3.01
RALA	15.08	19.91	24.64	17.14	18.33	20.5	14.98	13.7	17.79	11.81	16.4	12.88	18.2
BAIAP2L1	21.77	25.03	28.2	25.78	20.12	22.97	20.79	15.86	18.91	18.85	18.65	19.06	19.59
KDM7A	2.42	2.85	1.41	1.96	0.94	0.92	1.15	0.74	1.24	1.16	1.19	0.73	1.2
ETV1	1.87	2.67	1.65	2.1	1.17	0.98	1.43	1.15	0.87	1.26	1.39	1.11	0.65
AGK	5.35	6.01	6.81	6.55	3.17	3.17	6.24	6.17	6.16	5.78	6.23	5.7	4.29
ALDH3B1	2.41	2.36	2.84	2.53	1.73	2.59	1.76	2.53	2.12	1.6	1.42	1.58	2.12
TTC22	3.18	3.44	2.41	2	2.87	4.3	2.58	2.19	2.29	2.46	2.13	1.91	2.64
PHTF2	3.39	4.05	3.39	2.89	2.25	1.8	1.68	1.13	1.55	1.85	1.57	1.64	2.01
CCL26	0	0.21	0.77	0.5	0.18	0	0.54	0.24	0.5	0.24	0.22	0.24	1.01
FARP2	9.2	9.1	8.41	5.76	3.9	3.88	4.87	3.89	4.33	4.66	4.86	4.43	4.7
USH1C	1.09	0.62	0.79	0.5	0.81	0.45	0.49	0.57	0.45	0.31	0.38	0.59	0.22
GGCT	15.21	14.3	18.9	15.63	7.21	6.03	6.01	5.73	6.14	6.36	6.15	6.24	4.57
DBF4	8.96	7.15	7.9	6.16	5.18	3.55	6.18	5.58	6.17	5.59	6.61	6.31	5.5
TBXA2R	0.21	0.15	0.22	0.18	0.04	0.07	0.09	0.06	0.1	0.1	0.1	0.02	0.27
IFRD1	4.41	5.81	6.56	5.69	4.22	3.44	3.95	4.97	4.06	4.71	5.11	2.79	7.04
LGALS14	0	0	0	0	0	0	0	0	0	0	0	0	0
COX10	4.5	4.02	5.85	4.62	4.4	3.29	4.76	3.34	2.85	3.23	4.68	4.87	3.17
GTF2IRD1	1.82	1.59	4.77	2.13	2.73	5.98	2.56	2.83	2.87	1.96	2.39	2.05	2.82
PAF1	16.25	21.99	23.64	17.47	18.38	22.27	17.85	15.04	18.5	14.25	17.81	15.83	15.99
VPS41	16.37	10.99	14.09	14.59	6.22	4.71	8.62	6.3	6.1	5.99	5.71	5.16	5.68
ARHGAP44	0.65	0.3	0.87	0.35	0.23	0.12	0.06	0.08	0.3	0.29	0.18	0.12	0.11
ELAC2	21.52	17.67	28.52	24.55	19.96	25.76	18.59	15.67	20.82	19.16	25.12	19.06	16.22
SCIN	0.94	0.41	0.15	0.17	0.22	0.38	0.09	0.11	0.01	0.01	0.07	0.01	0.12
ARSD	3.11	3.74	5.33	4.89	3.35	3.7	2.99	2.87	2.93	2.9	3.43	3.89	2.96
PNPLA4	5.82	4.13	6.32	5.12	4.15	2.64	2.6	4.39	4.99	4.7	3.97	3.42	3.95
MYH13	0.06	0.03	0	0.01	0	0	0	0	0.01	0.02	0.01	0.01	0
ADIPOR2	10.85	11.68	12.08	11.27	9.04	9.13	9.8	7.89	8.43	9.96	9.01	9.72	8.99
CDKL3	0.51	0.06	0.16	0.1	0	0	0.13	0.08	0.61	0.2	0.37	0.36	0.42
UPP2	0.8	0.68	0.04	0.51	0.01	0	0	0.02	0.02	0.08	0.02	0.03	0.02
PRSS21	0.06	0.06	0.05	0.13	0	0	0	0.11	0	0.05	0.11	0	0
MARK4	4.05	4.84	6.33	4.43	6.74	4.74	6.78	3.84	5.91	4.68	6.44	4.89	5.87
PROM1	0.16	0.5	0.48	0.47	0.97	0.15	0.15	0.26	0.26	0.35	0.26	0.21	0.09
CCDC124	19.36	24.54	33.81	26.79	28.15	41.97	25.56	23.2	30.45	18.71	23.62	22.74	31.44
CEACAM21	0.46	0.28	0.32	0.17	0.08	0	0.13	0	0.06	0.05	0.09	0	0
PAFAH1B1	21.34	25.08	23.8	21.71	17.58	19.28	18.31	17.2	19.89	18.23	20.51	19.46	23.62
NOS2	1.07	1.47	0.03	0.03	0.07	0	0.02	0.02	0.02	0.01	0.02	0.01	0.02
