GeneSymbol	D4_ISO1_LP_1	D4_ISO1_LP_2	D4_INT_LP_PI_1	D4_INT_LP_PI_2	D4_INT_LP_LPS_1	D4_INT_LP_LPS_2	D4_INT_LP_5OP_1	D4_INT_LP_5OP_2	D4_INT_LP_C_1	D4_INT_LP_C_2	D4_ISO6_LP_1	D4_ISO6_LP_2
IDS	4.59	0	0	0	0	0	0	0	0	0.09	4.68	0
PRSS3	0.06	0	0	0	28.8	0	0	0	0	0	0	0
ZNF200	3.49	0	0.14	0	0	0	0	0	0	1.64	0	0
CD4	1.46	0	1.41	0	9.18	0	0	0	0	0	0	0
LRRC23	0.01	0	0	0	0	0	0	0	0.18	0	0	0
BTK	0	0	0	0	0	0	0	0	34.38	11.63	0	0
HFE	0.02	0	59.83	0.27	0	0.03	0	0	0	0	0	0
SCMH1	0.02	0	0	0	0	0	0	0	0	0	0.12	7.09
FYN	58.62	393.88	0	0	0	0	0	1.06	0.51	64.73	108.05	127.96
HIVEP2	7.29	0	0	0.11	24.76	0	0	0.02	2.16	0	12.52	25.85
FMO1	0	0	0	0	0	0	0	0	0	0	0	0
ELOA	6.87	9.9	0	0	0	0	0	0	4.19	1.15	7.04	12.76
LYPLA2	17.92	0	0	0	0	0	0	0	0	0	2.21	0
CLCN6	8.89	0	0	0	0	0	0	0	0	8.22	11.82	8.89
MRC2	0	0	0	0	0	0	0	0	0	0	0	0
NME1-NME2_ENSG00000011052	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A7	0	0	0	0	0	0	0	0	0	0	0	0
TSPAN9	0	0	0	0	49.14	0	0	0	0.11	1.82	0	0
BTBD7	8.75	0	4.74	0	3.27	3.82	0	0	0.02	5.43	10.39	5.17
APBA3	0	0	0	36.45	0	0.14	0	0	0	17.63	0	10.34
MKS1	10.72	0	37.35	0	12.13	0	0	0.14	0	8.01	9.64	0
ABHD5	7.14	0	0	0	72.87	0	0	0	0.02	0	0	0
ANOS1	0	0	0	0	5.19	0	0	0	0	0	0	0
AKAP8L	20.77	0	0	0	0	2.51	6.75	3.67	6.97	81.49	90.85	0
MBTD1	5.91	0	0	0	2.41	0	0	0	0	0	0	0
UTP18	3.7	0	0	0	0	0	0	0	0	0	2.09	6.92
RNF216	2.87	77.92	0	0	18.29	2.1	0	0	0	1.66	6.51	11.32
TTC19	4	0	0	0	0	0	0	0	7.2	7.07	0	2.9
PTBP1	34.29	0	0.67	0	24.26	1.04	0	0	24.45	92.78	117.11	14.05
DPF1	0	0	0	0	0	0	0	0	0	0	0	0
SYT7	0.04	0	0	0	532.54	0	0	0	0	0	0	0
LARS2	5.5	0	0	0	3.8	0	0.02	0	0	3.96	0.7	0
PIK3C2A	12.33	46.4	0	0	18.62	0	0	0	0	0	7.61	0.44
PLAUR	0.14	0	0	21.89	112.58	0	0	0	0	105.84	0	0
ANLN	7.08	0	0	0	0	0	0	0	0	0	0	0
WIZ	4	0	0	0	0	0	0	0	0	3.31	0	0
RABGAP1	0.81	716.59	0	0	16.83	0	0	0	0.02	2.33	55.25	0.43
DCN	0	0	0	0	209.98	0	0	0	0.36	6.99	0	0
QPCTL	0	0	0	0	0	0	0	0	22.39	0	0	0
PPP5C	43.78	0	0	0	0	0	0	0	0	0	21.37	0
CEP68	0.02	0	0	0	13.35	0	14.07	0.04	0.03	0.34	1.1	3.64
MAP4K3	0.14	0	0	0	0	0	0	0	0	0	0	0
ZBTB32	0.03	0	0	0	88.49	0	0	0	0	0	2.3	0
TYROBP	0	0	0	0	0	0	0	0	0	0	0	0
TMEM159	0.04	0	0	0	0	0	0	0	0	2.96	0	0
GABRA3	0	0	0	0	0	0	0	0	0	0	0.22	0
BRCA1	41.01	17.89	0.37	387.97	287.29	0	0	0	0.38	16.92	0	0
ERCC1	22.65	0	0	0	0	0	0	0	0.81	0	0	0.73
CD22	1.27	0	0	0	0	0	8.33	21.79	1.51	5.56	1.74	0
SEMA3B	0.02	0	0	0	9.23	0	0	0	0	0	0	0
MBTPS2	0	0	0	0	0	0	0	15.05	0	0	0	0
PRICKLE3	0	0	0	0	0	0	0	0	0	0	0.25	0
LTF	0	0	0	0	0	0	32.71	0	0	0	0	0
EXTL3	0	0	0	0	19.05	0.22	2.16	11.9	0	0	0	14.87
NR1H4	0.08	0	0	0	0	0	0	0	0	0	0	0
ELOVL5	14.84	1097.45	0	20.58	0	0	0	0	0.02	0	36.53	22.2
ALOX5	0.84	0	0	0	0	0	0	0	0	0	0	8.42
KDM5D	14.3	0	0	0	182.26	0	0	0	0.48	0	5.64	25.51
CALCOCO1	0.32	0	0	0	0	0.08	0	0	0	11.61	0.91	29.57
UBR7	19.95	0	0	0	0	0	0	0	7.19	0	0	0
MAP4K5	7.28	0	0	0	0	0	0	0	0	3.63	4.01	0
EHD3	2.35	0	0	0	0	0	0	0	0	0	0.53	0
PSMC4	12.54	0	0	0	0	0	0	0	0	1.99	39.44	0
MAN2B2	5.54	0	0	0	0	0	0	0.04	0	0	3.52	0
SLC7A14	0	0	0	0	0	0	0	0	0	0	0	0
CLDN11	0	0	0	0	0	0	0	0	0	4.74	0	0
SLC25A39	0.84	234.6	0	231.09	0	0	0	0	22.59	0	0	1.52
MVP	4.4	0	0	0	0.72	4.7	0	0	0	0	50.98	0
NUB1	34.53	0.69	0	0	99.97	0	0	0	0	0	0	14.98
PGM3	2.89	0	1.16	0	8.37	0	0	0.88	0.01	18.74	0.46	0
RWDD2A	0	0	0	0	0	0.38	0	0	0	0	0	0
CLK1	14.72	6.38	0	0.82	32.42	0	0	0	14.32	18.51	32.74	81.07
POLR3B	6.49	0	0	0	112.75	0.16	0	0	0	0	0	0
ANGEL1	0	0	17.87	0	10.83	0	0	0	1.02	7.07	0	0
RNF14	17.8	0	0.74	0	0	0	0	0	16.74	0.17	88.26	84.48
DNASE1L1	0.01	0	0	0	0	2.1	0	0	0	0	0	0
DDX11	7.31	0	1.94	1.21	0	20.44	0	0	0	0	0.44	0
HEBP1	0.08	0	0	0	0	0	0	0	0.02	0	4.41	0
GPRC5A	0.37	0	0	14.75	17.35	0	0	0.02	0	3.56	0	0
MAMLD1	0.03	0	0	0	0	0	0	8.56	0	4.32	0	5.04
CD6	0	0	0	0	0	1.62	1.68	0	8.29	0.15	5.81	0
TACC3	10.56	0	0	0	0	0	0	0	0.5	0	0	10.61
UFL1	4.35	0	0	0	0	0	0	0	0	0	10.74	11.93
POLA2	0	0.98	0	0	28.54	0	0	0	4.61	11.36	6.29	0
ZC3H3	0.01	0	0	0	8.97	0	0	0	0	0	0	0
CAPN1	0.55	0	0	0	0	0	0	0	0	9.04	2.85	0
ACPP	0	0	0	0	0	0	0	0	0	2.05	0	0
MDH1	23.27	0	0.37	0	0	0	0	0	27.21	0	25.23	82.03
SLC30A9	7.71	0	0	0	0	0	0	34.13	0	0.54	5.98	3.01
MTMR11	0.04	0	0	0	164.99	0	0	0	0	22.71	0.23	0
COX15	4.1	0	0	0	0	0	0	0	0	1.06	0	6.23
CCDC88C	5.74	43.64	0.05	1.89	0	272.24	0	27.25	5.16	97.07	8.62	1.57
YAF2	0.06	0	0	0	0	0	0	0	0	25.03	0	0
ZMYND11	2.82	6.55	0	0	36.31	0	0	1.27	0	4.2	48.07	0
WAS	18.91	0	0	0	0	0	0	0	0	0	0	0
DPEP1	0	0	0	0	0	0	0	0	0	0	0	0
BID	0.05	0	0	0	0	0	0	0	0	0	0	16.99
MATR3_ENSG00000015479	118.37	45.61	0	0	0	0.01	0	0	0	0	34.22	57.22
NPC1L1	0	0	0	0	0	0	0	0	0	0	0	0
XYLT2	0	0	0	0	0	0	0	0	0	0	6.72	0
RGPD5	36.82	0	2.9	0	12.24	0	0	0	9.57	22.82	54.44	50.29
STMN4	0.01	0	0	0	0	0	0	0	0	0	0	0
NUDCD3	4.51	0	8.85	0.05	78.98	0	0	0	0	4.34	5.78	133.15
ISL1	0	0	0	0	41.24	0	0	0	0	0	0	0
CHDH	0	0	0	0	0	0	0	2.23	0	4.01	0	0
IL20RA	0	0	0	0	0	0	0	6.51	0	1.91	0	0
