GeneSymbol	D3_INT_EPI_GL_C	D3_ISO2_EPI_1	D3_ISO2_EPI_2
EXTL3	1.4	2.4	1.46
NR1H4	13.75	12.48	10.17
ELOVL5	15.74	25.78	27.02
ALOX5	2.58	7.35	5.22
KDM5D	0.02	0	0
CALCOCO1	5.02	4.51	7.7
UBR7	0.89	1.89	2.11
MAP4K5	2.25	3.51	3.25
EHD3	0	0.01	0
PSMC4	14.38	14.57	12.93
MAN2B2	7.02	8.93	9.2
SLC7A14	0	0	0
CLDN11	0	0.02	0
SLC25A39	20.68	11.83	11.43
MVP	66.56	68.97	57.43
NUB1	16.95	11.49	17.27
PGM3	3.06	5.18	7.26
RWDD2A	0.07	0.18	0.14
CLK1	2.63	5.22	7.33
POLR3B	0.28	0.56	0.41
ANGEL1	0.3	0.04	0.25
RNF14	10.47	8.94	11.62
DNASE1L1	3.21	3.1	2.9
DDX11	1.69	1.78	2.41
HEBP1	22.54	36.51	36.04
GPRC5A	120.24	154.16	141.45
MAMLD1	0	0.07	0.02
CD6	0.01	0.07	0.09
TACC3	0.84	0.74	0.46
UFL1	2.6	5.14	5.6
POLA2	0.48	0.26	0.45
ZC3H3	1.74	1.9	1.94
CAPN1	77.04	89.99	74.88
ACPP	0.77	0.29	0.03
MDH1	34.07	15.05	13.4
SLC30A9	20.55	15.34	15.51
MTMR11	8.79	11.98	13.74
COX15	6.23	3.28	3.11
CCDC88C	12.92	12.94	13.24
YAF2	0.74	1.63	1.72
ZMYND11	3.57	4.36	3.81
WAS	0.01	0.02	0
DPEP1	1.92	1.26	1.41
BID	5.09	5.92	4.3
MATR3_ENSG00000015479	14.02	16.77	23.58
NPC1L1	0.03	0.04	0
XYLT2	0.81	1.01	1.42
RGPD5	2.38	3.68	10.97
STMN4	0	0	0
NUDCD3	3.43	5.21	4.95
ISL1	0	0	0
CHDH	1.15	2.15	2.85
IL20RA	1.21	1.19	1.5
CLCA1	0	0	0
CLCA4	34.84	32.23	40.01
GLT8D1	1.89	1.56	3.69
ATP2C1	28.42	26.86	24.29
IGF1	0	0	0
SLC38A5	0	0	0.04
RALBP1	17.87	30.62	32.88
RUFY3	2.09	2	3.07
CNTN1	0	0	0
SLC11A1	0.03	0.05	0.01
WWTR1	3.66	4.56	4.57
AGPS	10.34	6.33	5.95
ZNF285CP_ENSG00000018607	0	0	0
CXorf56	1.8	2.47	1.22
ATP1A2	0	0.05	0.06
TTC27	0.38	0.06	0.22
ZNF582	0	0	0.29
VSIG2	33.44	37.4	31.66
PHLDB1	2.32	1.32	2.29
MARCO	0	0	0
CYP24A1	0.02	0	0
PRDM11	0.04	0.07	0.1
SYT13	1.34	3.04	2.95
SNAI2	0.04	0.21	0.35
CD74	13.81	20.82	21.28
HGF	0	0	0
ZRANB1	1.53	1.54	1.83
NCDN	0.84	1.36	1.42
ADGRA2	0	0	0.02
CCT8L1P_ENSG00000020219	0	0	0
ZFP64	2.06	1.45	1.78
MNAT1	0.91	3.18	0.43
SAMD4A	3.56	2.8	2.86
RUNX3	0.02	0.08	0.16
MRE11	0.86	0.5	0.45
PLEKHB1	0.81	0.8	0.79
SERPINB1	63.59	65.1	52.36
CYP3A43	0	0	0
SLC7A9	0.68	0.41	0.27
SPAST	2.21	2.75	2.71
NRXN3	0	0.04	0
OSBPL5	3.39	2.58	2.37
AQR	1.95	1.67	3.12
CPS1	0.05	0	0
C8B	0	0	0
FHL1	0	0	0.01
RTF2	19.19	23.76	16.34
GABRA1	0	0	0
NLRP2	4.97	5.76	5.24
SLC45A4	4.14	5.99	6.91
RNF10	81.6	89.14	111.27
ZNF839	1.2	0.63	1.6
ZDHHC6	1.55	3.69	3.73
GRAMD1B	5.01	8.26	5.66
RNH1	12.03	11.73	9.11
NDUFS1	31.84	23.49	21.67
RB1CC1	4.31	5.52	5.43
ERP44	8.78	10.28	10.63
ALAS1	91	51.83	49.65
BIRC3	37.48	44.07	55.16
AKAP11	1.79	2.39	2.38
GLRX2	0.92	1.81	1
SNAPC1	0.13	0.37	0.31
DERA	12.07	19.82	18.45
STRAP	12.39	10.29	9.53
ABCC2	17.21	0.36	0.33
DEF6	0.42	0.41	0.19
PLEKHO1	0.1	0.08	0.39
GCLM	5.5	1.3	2.24
UBR2	4.32	4.89	5.59
EHD2	1.03	5.52	4.88
DEPDC1	0.03	0.03	0.13
CCDC28A	1.88	2.83	5.09
RRAGD	0.15	0.55	0.72
HSF2	0.13	0.25	0.97
PHF20	1.56	1.19	1.2
HSD17B6	0	0	0
NR1H3	2.38	0.42	1.46
TYMP	2.34	1.47	1.32
NCAPH2	0.68	1.92	1.58
TOMM34	2.16	1.54	1.67
SEC63	4.31	6.62	4.81
KPNA6	3.59	3.1	2.99
VIM	0.38	0.8	0.89
RTEL1-TNFRSF6B_ENSG00000026036	0.02	0.05	0.08
FAS	3.75	2.46	2.34
RNASET2	48.4	32.8	35.68
CD44	26.85	7.36	6.05
KCNG1	0.46	0.27	0.48
AGPAT4	0.22	0.03	0.14
SLAMF7	0.03	0	0.06
BTN3A1	0.85	1.23	1.99
MIPEP	2.92	1.92	1.66
PRKCH	1.65	0.25	1.26
INSRR	0	0	0
IFNGR1	34.17	34.91	41.22
B4GALT7	0.33	0.44	0.52
SH2D2A	0	0.05	0.23
VRK2	2.11	1.82	2.5
TNFRSF1B	7.22	2.21	1.93
VEZT	10.04	9.78	10.26
POU2F2	0	0.05	0.01
BRD9	2.21	1.74	2.34
SNX1	10.67	8.23	12.93
TBPL1	1.32	0.9	0.93
ARNTL2	1.63	1.48	1.35
BCLAF1	14.96	33.76	26.7
SLC39A9	10.9	12.7	14.2
ANK1	0.42	0.5	0.43
IBSP	0	0	0
TFB1M	1.14	0.2	0.23
RABEP1	7.75	10.07	9.75
HMGB3	9.84	13.29	7.77
NUP160	1.3	0.96	0.87
BAK1	13.61	11.71	10.37
MUSK	0	0	0
IKZF2	0.09	0.37	0.19
GRN	80.32	96.02	87.89
FAM13B	1.6	2.01	1.53
ARHGAP31	0.05	0.05	0.03
CENPQ	0.23	0.19	0.57
SARS	14.5	16.28	15.76
