GeneSymbol	D4_INT_EPIi_PI_1	D4_INT_EPIi_PI_2	D4_INT_EPIi_LPS_2	D4_INT_EPIi_5OP_1	D4_INT_EPIi_5OP_2	D4_INT_EPIi_C_1	D4_INT_EPIi_C_2	D4_ISO1_EPIi_1	D4_ISO1_EPIi_2	D4_INT_EPIi_LPS_1
DNAH9	0	0.12	0.01	0.02	0	0.06	0	0.13	0.13	0
KIAA0100	13.47	12.41	13.24	10.75	12.8	14.79	14.21	12.63	9.73	15.84
SLC13A2	0.05	0.03	0.01	0	0.02	0	0	0.01	0	0.02
GAS7	0.61	0.42	0.56	0.43	0.24	0.38	0.46	0.83	0.46	0.87
TRAPPC6A	0.23	0.61	0.47	0.47	0.45	0.38	0.27	0.39	0.35	0.63
MATK	0	0	0	0	0	0	0	0	0	0
CEACAM7	6.92	9.51	14.44	12.36	10.01	13.54	15.57	17.69	23.48	19.26
CD79B	0	0	0	0	0	0	0	0.06	0	0
SCN4A	0	0	0	0	0	0	0	0.01	0	0
ST7L	0.9	1.18	1.01	1.23	0.68	1.29	0.82	2.02	0.77	1.6
TKTL1	0	0	0	0	0	0	0	0	0	0
PAX6	0	0	0	0	0.01	0	0	0.01	0	0.02
RPUSD1	0.75	0.4	0.56	0.54	0.76	0.97	0.26	0.06	0.06	0.52
RHBDF1	5.64	4.63	4.94	4.91	6.6	5.17	6.21	4.99	4.87	6.44
LUC7L	2.59	2.07	1.74	1.84	2.3	2.68	2.24	3.61	1.83	2.34
CACNA2D2	0.02	0.01	0	0	0.02	0	0	0	0	0
BAIAP3	0.19	0.18	0.23	0.19	0.14	0.15	0.29	0.07	0.11	0.21
TSR3	3	3.26	2.74	2.86	3.57	3.52	2.46	1.33	0.72	5.05
PIGQ	1.53	1.41	1.62	1.71	1.44	1.51	1.53	0.82	0.96	1.05
CRAMP1	1.3	2.19	1.35	1.15	2.59	1.44	1.68	1.48	1.44	1.98
TEAD3	3.61	3.17	3.25	3.3	3.62	3.7	3.81	3.33	2.82	3.71
SELE	0	0	0	0	0	0	0	0	0	0
DNAJC11	2.88	4.98	3.8	3.13	3.38	5.78	4.34	5.63	3.31	2.78
FMO3	0	0	0	0	0	0	0	0	0	0
MYLIP	0.46	0.34	0.46	0.45	0.59	0.44	0.42	0.28	0.29	0.43
NOX1	1.42	1.47	1.32	1.88	1.71	1.54	1.7	0.96	0.81	1.89
E2F2	0.25	0.09	0.15	0.14	0.1	0.13	0.23	0.07	0.04	0.2
PSMB1	12.26	15.02	14.64	13.78	13.36	15.67	16.83	28.95	22.46	19.91
SYN1	0	0.17	0.03	0	0.02	0	0	0	0	0.02
JARID2	0.39	0.52	0.39	0.41	0.38	0.49	0.49	0.65	0.65	0.43
CDKL5	0.99	0.95	1.1	1.01	1	1.21	1.17	1.89	1.15	1.17
CAMK1G	0.08	0.01	0.02	0.06	0	0.02	0.04	0.06	0.03	0
CDK11A	6.16	7.48	8	6.88	6.93	6.64	7.07	5.7	4.84	6.15
NADK	25.33	23.03	23.53	23.51	27.19	24.42	24.15	14.19	12.85	27.24
TFAP2B	0	0	0	0	0	0	0	0	0	0
TFAP2D	0	0	0	0	0	0	0	0	0	0
DLEC1	0.06	0.04	0.05	0.08	0.05	0.08	0.01	0.06	0.08	0.01
CYTH3	9.98	8.2	11.91	9.44	10.43	11.03	10.39	9.66	9.24	12.99
ADAM22	0.13	0.04	0.07	0.06	0.05	0.06	0.05	0.11	0.09	0.1
SYPL1	4.29	4.79	4.6	4.41	3.61	5.46	6.2	5.9	4.06	8.11
CYB561	3.81	5.58	5.01	4.72	4.51	5.2	5	4.27	3.67	5.53
SPAG9	38.21	32.34	33.83	34.45	34.19	35.44	43.88	64.5	52.98	48.05
CELSR3	0.03	0.03	0.01	0.13	0.02	0.05	0.11	0.01	0.03	0.03
AASS	1.56	0.81	1.09	1.29	0.8	1.28	1.37	2.4	2.33	1.69
PLEKHG6	14.46	13.38	14.18	12.73	13.88	15.68	16.29	15.03	11.24	15.14
SS18L2	0.8	0.65	0.82	1.02	0.48	0.64	1.2	1	0.8	0.83
MPND	3.8	3.78	3.28	4.3	3.81	6.57	6.13	4.68	5.79	4.32
MGST1	28.43	40.4	30.56	37.49	43.34	38.6	32.91	42.63	26.48	43.42
CRY1	2.39	2.97	2.88	2.36	2.31	2.71	3.08	4.24	3.3	3.63
PGLYRP1	0	0	0	0	0	0	0	0	0	0
NFIX	2.09	2.68	2.15	1.74	2.56	2.67	2.32	1.67	1.38	2.57
ST3GAL1	9.09	7	6.63	7.12	6.3	6.97	10.24	14.96	15.03	9.71
MMP25	0.07	0.07	0.04	0.05	0.07	0.14	0.1	3	2.84	0.05
IL32	117.35	118.42	158	167.83	134.8	134.18	183.77	1312.21	1049.56	163.99
PKD1	0.45	0.89	0.87	1.29	1.18	0.81	0.78	0.12	0.25	1.18
MAPK8IP2	0.06	0.04	0.04	0.03	0.03	0.04	0.05	0.07	0.1	0.04
MED24	1.91	3.39	2.74	2.44	1.74	2.15	3.17	2.5	2.77	2.6
RHOBTB2	2.61	3.39	2.84	2.73	2.08	3.52	3.67	1.52	0.76	3.59
HEATR5B	1.44	1.42	1.5	1.43	1.41	1.6	1.66	2.4	2.48	1.69
SEC62	42.17	40.87	38.41	43.09	40.95	44.38	50.75	53.82	42.54	41.59
RPS20	60.88	60.34	52.29	50.89	59.62	56.44	65.84	142.18	98.86	81.64
CSDE1	70.12	67.74	68.31	65.78	64.45	63.96	78.57	90.82	77.76	75.91
UBE3C	3.9	3.89	2.99	4.72	4.55	4.28	4.19	3.6	2.76	6.42
REV3L	0.69	1.57	0.6	0.66	0.41	1.55	1.62	0.81	2.14	0.48
TENM1	0	0	0	0	0	0	0	0	0	0
PAX7	0	0	0	0	0	0	0	0	0	0
