GeneSymbol	D4_INT_EPIi_PI_1	D4_INT_EPIi_PI_2	D4_INT_EPIi_LPS_2	D4_INT_EPIi_5OP_1	D4_INT_EPIi_5OP_2	D4_INT_EPIi_C_1	D4_INT_EPIi_C_2	D4_ISO1_EPIi_1	D4_ISO1_EPIi_2	D4_INT_EPIi_LPS_1
RNU6-440P_ENSG00000212184	0	0	0	0	0	0	0	0	0	0
RNU6-258P_ENSG00000212186	0	0	0	0	0	0	0	0	0	0
ENSG00000212187	0	0	0	0	0	0	0	0	0	0
RNU6-328P_ENSG00000212189	0	0	0	0	0	0	0	0	0	0
RNU6-298P_ENSG00000212190	0	0	0	0	0	0	0	0	0	0
ENSG00000212191	0	0	0	0	0	0	0	0	0	0
U3_ENSG00000212195	0	0	0	0	0	0	0	0	0	0
RNU6-127P_ENSG00000212199	0	0	0	0	0	0	0	0	0	0
RNA5SP91_ENSG00000212204	0	0	0	0	0	0	0	0	0	0
ENSG00000212205	0	0	0	0	0	0	0	0	0	0
ENSG00000212206	0	0	0	0	0	0	0	0	0	0
RNU6-1321P_ENSG00000212207	0	0	0	0	0	0	0	0	0	0
U3_ENSG00000212211	0	0	0	0	0	0	0	0	0	0
SNORA48B_ENSG00000212214	0	0	0	0	0	0	0	0	0	0
RNU6-913P_ENSG00000212215	0	0	0	0	0	0	0	0	0	0
RNU6-816P_ENSG00000212216	0	0	0	0	0	0	0	0	0	0
RNU6-604P_ENSG00000212219	0	0	0	0	0	0	0	0	0	0
RNU6-220P_ENSG00000212221	0	0	0	0	0	0	0	0	0	0
ENSG00000212224	0	0	0	0	0	0	0	0	0	0
RNU6-907P_ENSG00000212226	0	0	0	0	0	0	0	0	0	0
ENSG00000212228	0	0	0	0	0	0	0	0	0	0
ENSG00000212229	0	0	0	0	0	0	0	0	0	0
RNU6-747P_ENSG00000212230	0	0	0	0	0	0	0	0	0	0
SNORD17_ENSG00000212232	31.23	47.7	50.02	30.05	36.12	35.38	46.99	52.32	32.42	40.42
RNA5SP18_ENSG00000212237	0	0	0	0	0	0	0	0	0	0
RNA5SP244_ENSG00000212238	0	0	0	0	0	0	0	0	0	0
RNU6-930P_ENSG00000212240	0	0	0	0	0	0	0	0	0	0
ENSG00000212241	0	0	0	0	0	0	0	0	0	0
RNA5SP219_ENSG00000212242	0	0	0	0	0	0	0	0	0	0
RNU6-360P_ENSG00000212246	0	0	0	0	0	0	0	0	0	0
RNU6-278P_ENSG00000212247	0	0	0	0	0	0	0	0	0	0
RNU6-750P_ENSG00000212248	0	0	0	0	0	0	0	0	0	0
U8_ENSG00000212249	0	0	0	0	0	0	0	0	0	0
RNA5SP376_ENSG00000212251	0	0	0	0	0	0	0	0	0	0
RNU6-1176P_ENSG00000212257	0	0	0	0	0	0	0	0	0	0
RNA5SP176_ENSG00000212258	0	0	0	0	0	0	0	0	0	0
RNU6-308P_ENSG00000212259	0	0	0	0	0	0	0	0	0	0
RNU6-724P_ENSG00000212260	0	0	0	0	0	0	0	0	0	0
SNORD65C_ENSG00000212264	0	0	0	0	0	0	0	0	0	0
RNA5SP185_ENSG00000212265	0	0	0	0	0	0	0	0	0	0
ENSG00000212266	0	0	0	0	0	0	0	0	0	0
RNU6-788P_ENSG00000212269	0	0	0	0	0	0	0	0	0	0
ENSG00000212270	0	0	0	0	0	0	0	0	0	0
ENSG00000212273	0	0	0	0	0	0	0	0	0	0
RNA5SP292_ENSG00000212276	0	0	0	0	0	0	0	0	0	0
SNORD81_ENSG00000212278	0	0	0	0	0	0	0	0	0	0
ENSG00000212279	0	0	0	0	0	0	0	0	0	0
RNA5SP256_ENSG00000212280	0	0	0	0	0	0	0	0	0	0
RNU6-578P_ENSG00000212282	0	0	0	0	0	0	0	0	0	0
SNORD89_ENSG00000212283	0	0	0	0	0	0	0	0	0	0
RNA5SP339_ENSG00000212289	0	0	0	0	0	0	0	0	0	0
RNU6-239P_ENSG00000212292	0	0	0	0	0	0	0	0	0	0
ENSG00000212293	0	0	0	0	0	0	0	0	0	0
SNORD28B_ENSG00000212295	0	0	0	0	0	0	0	0	0	0
SNORD72_ENSG00000212296	0	0	0	0	0	0	0	0	0	0
RNU6-821P_ENSG00000212297	0	0	0	0	0	0	0	0	0	0
RNU6-1009P_ENSG00000212298	0	0	0	0	0	0	0	0	0	0
ENSG00000212302	0	0	0	0	0	0	0	0	0	0
RNU6-1154P_ENSG00000212303	0	0	0	0	0	0	0	0	0	0
SNORD12_ENSG00000212304	0	0	0	0	0	0	0	0	0	0
RNU6-679P_ENSG00000212305	0	0	0	0	0	0	0	0	0	0
ENSG00000212306	0	0	0	0	0	0	0	0	0	0
RNA5SP23_ENSG00000212308	0	0	0	0	0	0	0	0	0	0
SNORD70B_ENSG00000212309	0	0	0	0	0	0	0	0	0	0
RNA5SP109_ENSG00000212312	0	0	0	0	0	0	0	0	0	0
RNU6-1307P_ENSG00000212314	0	0	0	0	0	0	0	0	0	0
RNU6-1228P_ENSG00000212316	0	0	0	0	0	0	0	0	0	0
ENSG00000212319	0	0	0	0	0	0	0	0	0	0
U3_ENSG00000212321	0	0	0	0	0	0	0	0	0	0
RNU6-129P_ENSG00000212324	0	0	0	0	0	0	0	0	0	0
ENSG00000212325	0	0	0	0	0	0	0	0	0	0
RNU6-882P_ENSG00000212327	0	0	0	0	0	0	0	0	0	0
RNU6-316P_ENSG00000212329	0	0	0	0	0	0	0	0	0	0
RNU6-244P_ENSG00000212330	0	0	0	0	0	0	0	0	0	0
RNA5SP297_ENSG00000212331	0	0	0	0	0	0	0	0	0	0
RNU6-780P_ENSG00000212332	0	0	0	0	0	0	0	0	0	0
RNA5SP213_ENSG00000212333	0	0	0	0	0	0	0	0	0	0
ENSG00000212335	0	0	0	0	0	0	0	0	0	0
RNA5SP210_ENSG00000212336	0	0	0	0	0	0	0	0	0	0
ENSG00000212338	0	0	0	0	0	0	0	0	0	0
RNU6-739P_ENSG00000212340	0	0	0	0	0	0	0	0	0	0
ENSG00000212342	0	0	0	0	0	0	0	0	0	0
RNU6-823P_ENSG00000212344	0	0	0	0	0	0	0	0	0	0
RNU6-700P_ENSG00000212345	0	0	0	0	0	0	0	0	0	0
ENSG00000212347	0	0	0	0	0	0	0	0	0	0
RNU6-1300P_ENSG00000212348	0	0	0	0	0	0	0	0	0	0
RNU6-1242P_ENSG00000212354	0	0	0	0	0	0	0	0	0	0
RNU6-837P_ENSG00000212358	0	0	0	0	0	0	0	0	0	0
RNU6-550P_ENSG00000212359	0	0	0	0	0	0	0	0	0	0
RNU6-1177P_ENSG00000212360	0	0	0	0	0	0	0	0	0	0
ENSG00000212363	0	0	0	0	0	0	0	0	0	0
RNA5SP332_ENSG00000212365	0	0	0	0	0	0	0	0	0	0
RNU6-1246P_ENSG00000212366	0	0	0	0	0	0	0	0	0	0
RNU6-1000P_ENSG00000212368	0	0	0	0	0	0	0	0	0	0
RNU6-482P_ENSG00000212370	0	0	0	0	0	0	0	0	0	0
ENSG00000212371	0	0	0	0	0	0	0	0	0	0
RNA5SP171_ENSG00000212373	0	0	0	0	0	0	0	0	0	0
RNU6-401P_ENSG00000212374	0	0	0	0	0	0	0	0	0	0
ENSG00000212377	0	0	0	0	0	0	0	0	0	0
ENSG00000212378	0	0	0	0	0	0	0	0	0	0
RNU6-269P_ENSG00000212379	0	0	0	0	0	0	0	0	0	0
SNORD115-45_ENSG00000212380	0	0	0	0	0	0	0	0	0	0
RNU6-159P_ENSG00000212382	0	0	0	0	0	0	0	0	0	0
ENSG00000212383	0	0	0	0	0	0	0	0	0	0
SNORD113-2_ENSG00000212384	0	0	0	0	0	0	0	0	0	0
RNU6-817P_ENSG00000212385	0	0	0	0	0	0	0	0	0	0
RNU6-1055P_ENSG00000212387	0	0	0	0	0	0	0	0	0	0
RNU6-796P_ENSG00000212388	0	0	0	0	0	0	0	0	0	0
RNU6-1275P_ENSG00000212389	0	0	0	0	0	0	0	0	0	0
ENSG00000212391	0	0	0	0	0	0	0	0	0	0
ENSG00000212392	0	0	0	0	0	0	0	0	0	0
ENSG00000212395	0	0	0	0	0	0	0	0	0	0
RNA5SP323_ENSG00000212396	0	0	0	0	0	0	0	0	0	0
ENSG00000212397	0	0	0	0	0	0	0	0	0	0
RNU6-1248P_ENSG00000212398	0	0	0	0	0	0	0	0	0	0
SNORA74B_ENSG00000212402	2.96	3.57	4.63	0	2.12	3.01	1.33	5	0	6.21
ENSG00000212404	0	0	0	0	0	0	0	0	0	0
RNU6-663P_ENSG00000212407	0	0	0	0	0	0	0	0	0	0
RNY4P18_ENSG00000212409	0	0	0	0	0	0	0	0	0	0
RNU6-932P_ENSG00000212410	0	0	0	0	0	0	0	0	0	0
SNORD115_ENSG00000212411	0	0	0	0	0	0	0	0	0	0
RNU11-3P_ENSG00000212413	0	0	0	0	0	0	0	0	0	0
SNORD77B_ENSG00000212414	0	0	0	0	0	0	0	0	0	0
ENSG00000212415	0	0	0	0	0	0	0	0	0	0
RNY4P36_ENSG00000212418	0	0	0	0	0	0	0	0	0	0
RNU6-1111P_ENSG00000212420	0	0	0	0	0	0	0	0	0	0
ENSG00000212421	0	0	0	0	0	0	0	0	0	0
U3_ENSG00000212422	0	0	0	0	0	0	0	0	0	0
RNU1-119P_ENSG00000212424	0	0	0	0	0	0	0	0	0	0
RNA5SP105_ENSG00000212425	0	0	0	0	0	0	0	0	0	0
SNORD115_ENSG00000212428	0	0	0	0	0	0	0	0	0	0
RNU11-6P_ENSG00000212429	0	0	0	0	0	0	0	0	0	0
SNORA75_ENSG00000212432	0	0	0	0	0	0	0	0	0	0
RNA5SP252_ENSG00000212433	0	0	0	0	0	0	0	0	0	0
U3_ENSG00000212434	0	0	0	0	0	0	0	0	0	0
SNORA75_ENSG00000212440	0	0	0	0	0	0	0	0	0	0
RNU6-1269P_ENSG00000212441	0	0	0	0	0	0	0	0	0	0
RNU6-243P_ENSG00000212442	0	0	0	0	0	0	0	0	0	0
SNORA53_ENSG00000212443	0	0	0	0	0	0	1.61	0.81	0	0.58
ENSG00000212445	0	0	0	0	0	0	0	0	0	0
RNU6-131P_ENSG00000212446	0	0	0	0	0	0	0	0	0	0
SNORD90_ENSG00000212447	0	0	0	0	0	0	0	0	0	0
ENSG00000212448	0	0	0	0	0	0	0	0	0	0
RNU6-241P_ENSG00000212450	0	0	0	0	0	0	0	0	0	0
RNU11-4P_ENSG00000212451	0	0	0	0	0	0	0	0	0	0
SNORD69_ENSG00000212452	0	0	0	0	0	0	0	0	0	0
RNA5SP286_ENSG00000212454	0	0	0	0	0	0	0	0	0	0
ENSG00000212455	0	0	0	0	0	0	0	0	0	0
RNU6-644P_ENSG00000212457	0	0	0	0	0	0	0	0	0	0
ENSG00000212458	0	0	0	0	0	0	0	0	0	0
RNU6-695P_ENSG00000212459	0	0	0	0	0	0	0	0	0	0
RNU6-460P_ENSG00000212460	0	0	0	0	0	0	0	0	0	0
ENSG00000212461	0	0	0	0	0	0	0	0	0	0
SNORA12_ENSG00000212464	0	0	0	0	0	0	6.88	0	0	0
RNU6-952P_ENSG00000212466	0	0	0	0	0	0	0	0	0	0
RNU6-754P_ENSG00000212468	0	0	0	0	0	0	0	0	0	0
RNU6-1158P_ENSG00000212469	0	0	0	0	0	0	0	0	0	0
RNU1-101P_ENSG00000212473	0	0	0	0	0	0	0	0	0	0
RNU6-400P_ENSG00000212475	0	0	0	0	0	0	0	0	0	0
U3_ENSG00000212479	0	0	0	0	0	0.67	0	1.71	0	0
RNU6-530P_ENSG00000212482	0	0	0	0	0	0	0	0	0	0
RNU6-1197P_ENSG00000212485	0	0	0	0	0	0	0	0	0	0
RNU6-1109P_ENSG00000212489	0	0	0	0	0	0	0	0	0	0
ENSG00000212490	0	0	0	0	0	0	0	0	0	0
SNORD19_ENSG00000212493	0	0	0	0	0	0	0	0	0	0
RNU6-332P_ENSG00000212495	0	0	0	0	0	0	0	0	0	0
RNU6-1093P_ENSG00000212496	0	0	0	0	0	0	0	0	0	0
RNA5SP465_ENSG00000212497	0	0	0	0	0	0	0	0	0	0
SNORD86_ENSG00000212498	0	0	0	0	0	0	0	0	0	0
RNA5SP300_ENSG00000212499	0	0	0	0	0	0	0	0	0	0
RNA5SP299_ENSG00000212505	0	0	0	0	0	0	0	0	0	0
RNU6-972P_ENSG00000212510	0	0	0	0	0	0	0	0	0	0
U3_ENSG00000212511	0	0	0	0	0	0	0	0	0	0
ENSG00000212512	0	0	0	0	0	0	0	0	0	0
RNU6-1268P_ENSG00000212516	0	0	0	0	0	0	0	0	0	0
ENSG00000212517	0	0	0	0	0	0	0	0	0	0
RNU11-5P_ENSG00000212518	0	0	0	0	0	0	0	0	0	0
RNU6-1250P_ENSG00000212520	0	0	0	0	0	0	0	0	0	0
RNU6-918P_ENSG00000212521	0	0	0	0	0	0	0	0	0	0
RNA5SP212_ENSG00000212525	0	0	0	0	0	0	0	0	0	0
RNU6-466P_ENSG00000212526	0	0	0	0	0	0	0	0	0	0
RNA5SP63_ENSG00000212527	0	0	0	0	0	0	0	0	0	0
SNORD115-47_ENSG00000212528	0	0	0	0	0	0	0	0	0	0
ENSG00000212529	0	0	0	0	0	0	0	0	0	0
ENSG00000212532	0	0	0	0	0	0	0	0	0	0
SNORA75_ENSG00000212533	0	0	0	0	0	0	0	0	0	0
SNORD70_ENSG00000212534	0	0	0	0	0	0	0	0	0	0
RNU6-808P_ENSG00000212535	0	0	0	0	0	0	0	0	0	0
RNA5SP474_ENSG00000212536	0	0	0	0	0	0	0	0	0	0
U3_ENSG00000212538	0	0	0	0	0	0	0	0	0	0
U3_ENSG00000212539	0	0	0	0	0	0	0	0	0	0
RNU6-510P_ENSG00000212541	0	0	0	0	0	0	0	0	0	0
RNA5SP496_ENSG00000212542	0	0	0	0	0	0	0	0	0	0
RNU6-337P_ENSG00000212545	0	0	0	0	0	0	0	0	0	0
RNU6-995P_ENSG00000212546	0	0	0	0	0	0	0	0	0	0
RNA5SP354_ENSG00000212549	0	0	0	0	0	0	0	0	0	0
RNU1-78P_ENSG00000212550	0	0	0	0	0	0	0	0	0	0
U3_ENSG00000212551	0	0	0	0	0	0	0	0	0	0
SNORD116_ENSG00000212553	0	0	0	0	0	0	0	0	0	0
RNU6-192P_ENSG00000212555	0	0	0	0	0	0	0	0	0	0
ENSG00000212556	0	0	0	0	0	0	0	0	0	0
ENSG00000212558	0	0	0	0	0	0	0	0	0	0
RNA5SP35_ENSG00000212559	0	0	0	0	0	0	0	0	0	0
RNU6-630P_ENSG00000212560	0	0	0	0	0	0	0	0	0	0
RNU6-381P_ENSG00000212561	0	0	0	0	0	0	0	0	0	0
RNU6-1326P_ENSG00000212564	0	0	0	0	0	0	0	0	0	0
ENSG00000212565	0	0	0	0	0	0	0	0	0	0
ENSG00000212567	0	0	0	0	0	0	0	0	0	0
RNU6-1254P_ENSG00000212568	0	0	0	0	0	0	0	0	0	0
ENSG00000212569	0	0	0	0	0	0	0	0	0	0
RNA5SP482_ENSG00000212571	0	0	0	0	0	0	0	0	0	0
RNU6-903P_ENSG00000212572	0	0	0	0	0	0	0	0	0	0
RNA5SP467_ENSG00000212576	0	0	0	0	0	0	0	0	0	0
ENSG00000212579	0	0	0	0	0	0	0	0	0	0
SNORA75_ENSG00000212580	0	0	0	0	0	0	0	0	0	0
U8_ENSG00000212581	0	0	0	0	0	0	0	0	0	0
RNU6-587P_ENSG00000212584	0	0	0	0	0	0	0	0	0	0
ENSG00000212586	0	0	0	0	0	0	0	0	0	0
SNORA40C_ENSG00000212587	0	0	0	0	0	0	0	0	0	0
SNORA26_ENSG00000212588	0	0	0	0	0	0	0	0	0	0
ENSG00000212589	0	0	0	0	0	0	0	0	0	0
ENSG00000212590	0	0	0	0	0	0	0	0	0	0
SNORA75_ENSG00000212593	0	0	0	0	0	0	0	0	0	0
U8_ENSG00000212594	0	0	0	0	0	0	0	0	0	0
RNA5SP525_ENSG00000212595	0	0	0	0	0	0	0	0	0	0
RNU6-876P_ENSG00000212597	0	0	0	0	0	0	0	0	0	0
U3_ENSG00000212598	0	0	0	0	0	0	0	0	0	0
RNU6-279P_ENSG00000212599	0	0	0	0	0	0	0	0	0	0
RNA5SP53_ENSG00000212601	0	0	0	0	0	0	0	0	0	0
ENSG00000212604	0	0	0	0	0	0	0	0	0	0
RNU1-56P_ENSG00000212605	0	0	0	0	0	0	0	0	0	0
SNORA3B_ENSG00000212607	0	0	0	0	0	0	0	0	0	0
ENSG00000212608	0	0	0	0	0	0	0	0	0	0
RNU1-139P_ENSG00000212609	0	0	0	0	0	0	0	0	0	0
U3_ENSG00000212610	0	0	0	0	0	0	0	0	0	0
SNORD30_ENSG00000212611	0	0	0	0	0	0	0	0	0	0
RNU6-1239P_ENSG00000212612	0	0	0	0	0	0	0	0	0	0
SNORD58_ENSG00000212615	0	0	0	0	0	0	0	0	0	0
ENSG00000212618	0	0	0	0	0	0	0	0	0	0
SNORA75_ENSG00000212620	0	0	0	0	0	0	0	0	0	0
RNU6-493P_ENSG00000212623	0	0	0	0	0	0	0	0	0	0
ENSG00000212624	0	0	0	0	0	0	0	0	0	0
RNA5SP397_ENSG00000212625	0	0	0	0	0	0	0	0	0	0
ENSG00000212626	0	0	0	0	0	0	0	0	0	0
RNA5SP241_ENSG00000212628	0	0	0	0	0	0	0	0	0	0
ZRSR2P1_ENSG00000212643	0.23	0.13	0.29	0.03	0	0.38	0	0	0.37	0.21
KRTAP16-1	0	0	0	0	0	0	0	0	0	0
KRTAP29-1	0	0	0	0	0	0	0	0	0	0
KRTAP9-6	0	0	0	0	0	0	0	0	0	0
ENSG00000212663	0	0	0	0	0	0	0	0	0	0
RPL17P39_ENSG00000212664	0.04	0.04	0.23	0.1	0.06	0.22	0	0.58	0.06	0.08
LINC01089	1.14	0.99	0.49	1.02	1.02	1.03	0.91	1.35	1.11	0.63
ENSG00000212695	0	0	0	0	0	0	0	0	0	0
CTAGE1	0.02	0.02	0.01	0.01	0.02	0.02	0	0	0.01	0.04
ENSG00000212712	0	0	0	0	0	0	0	0	0	0
DEFB117_ENSG00000212717	0	0	0	0	0	0	0	0	0	0
LINC02693	0.07	0.3	0.12	0.24	0.09	0.08	0.22	0.05	0.06	0.39
KRTAP4-11	0	0	0	0	0	0	0	0	0	0
KRTAP4-9	0	0	0	0	0	0	0	0	0	0
KRTAP2-3	0.16	0.85	0.95	0.74	0.94	0.86	0.89	1.07	0.84	1.66
KRTAP2-1	0	0	0	0	0	0	0	0	0	0
LINC02656	0.01	0.02	0.01	0.03	0.06	0.02	0.02	0.2	0.03	0
RTL8B	0.3	0.23	0.3	0.36	0.33	0.18	0.38	0.15	0.29	0.48
EWSAT1	0	0	0	0	0	0	0	0	0	0
HMGN2P8_ENSG00000212769	0	0	0	0	0	0	0	0	0	0
ST13P5_ENSG00000212789	0.13	0.11	0.09	0.11	0.11	0.18	0.25	0.07	0.09	0.23
RPL15P3_ENSG00000212802	0.38	0.38	0.37	0.21	0.36	0.28	0.5	0.83	0.79	0.14
OR2A42	0	0	0	0.01	0	0	0	0.02	0	0
RPS26P3_ENSG00000212829	0	0.45	0	0	0	0	0.1	0	0.14	0
TTTY2	0	0	0	0	0	0	0	0	0	0
TTTY2B	0	0	0	0	0	0	0	0	0	0
RNF208	0.91	1.05	0.92	0.83	1.18	0.96	0.55	0.15	0.23	1.11
KRTAP3-3	0	0	0	0	0	0	0	0	0	0
KRTAP3-2	0	0	0	0	0	0	0	0	0	0
KRTAP3-1	0	0	0	0	0	0	0	0.25	0.04	0
MT-ND4L	276.66	272.68	285	260.18	275.73	301.12	224.2	380.69	261.25	297.67
MAP10	0	0.03	0	0.01	0	0	0.02	0.02	0.01	0.01
ENSG00000212930	0	0	0	0	0	0	0	0	0	0
RPL23AP4_ENSG00000212932	0	0	0	0	0	0	0	0	0	0
KRTAP12-4	0	0	0	0	0	0	0	0	0	0
KRTAP10-3	0	0	0	0	0	0	0	0	0	0
KRTAP6-3	0	0	0	0	0	0	0	0	0	0
ENSG00000212939	0	0	0	0	0	0	0	0	0	0.01
ENSG00000212952	0	0	0	0	0	0	0	0	0	0
HNRNPA1P40_ENSG00000212961	0	0	0	0	0	0.01	0	0	0	0
AC016747.1	0.02	0	0	0	0	0	0	0	0	0
ENSG00000212989	0	0	0	0	0	0	0	0	0	0
POU5F1B	0	0.17	0	0	0.01	0.02	0.07	0	0.03	0
RPS26P6_ENSG00000212994	0.14	0.73	0	0	0.11	0.22	0	0	0.15	0.25
BTF3P12_ENSG00000213003	0	0.11	0	0	0.25	0.23	0	0	0	0
PTTG3P_ENSG00000213005	0	0.07	0.03	0	0	0	0.06	0	0.16	0
RPS15AP36_ENSG00000213013	0.27	0	0	0	0.14	0.74	0	0	0	0.61
VN2R17P_ENSG00000213014	0	0	0	0	0	0	0	0	0	0
ZNF580	0.24	0.31	0.33	0.36	0.25	0.37	0.5	0.75	0.09	1.02
ENSG00000213016	0	0	0	0	0	0	0	0	0	0
PABPN1P1_ENSG00000213018	0	0	0	0	0	0	0	1.24	0	0
ZNF611	0.71	1.28	0.55	0.49	0.73	1.1	1.13	1.51	1.08	1.29
KLK9	0	0	0	0	0	0	0	0	0	0
SYT3	0	0	0	0	0	0	0	0	0	0
NUP62	2.59	3.2	3.03	3.29	2.84	3.1	2.9	3.15	2.78	2.91
COX20P1_ENSG00000213025	0.11	0	0.1	0	0.09	0	0	0	0.42	0
CFL1P4_ENSG00000213026	0	0	0	0	0	0	0	0	0	0
KIAA1191P3_ENSG00000213028	0	0	0	0	0	0	0	0	0	0
CGB8	0	0.08	0.11	0.11	0	0	0.12	0	0	0.03
NDUFA3P3_ENSG00000213032	0	0	0	0	0	0	0	0	0	0
AURKAP1_ENSG00000213033	0.17	0.03	0.1	0.13	0.11	0.08	0	0.2	0.24	0.21
RPL23AP80_ENSG00000213035	0.07	0	0	0	0	0	0	0	0	0
ENSG00000213036	0.08	0	0	0	0	0	0	0	0	0
RPL17P8_ENSG00000213041	0	0	0	0	0	0	0	0	0.1	0
ENSG00000213045	0	0	0	0	0	0	0	0	0	0
EEF1A1P32_ENSG00000213046	0.21	0.02	0.13	0	0.01	0.08	0.11	0.16	0.05	0.04
DENND1B	4.62	4.05	3.57	3.5	3.71	3.77	4.59	6.95	5.38	5.64
OR5S1P_ENSG00000213048	0	0	0	0	0	0	0	0	0	0
HNRNPA1P34_ENSG00000213049	0	0	0	0	0	0	0	0	0	0
TPM3P1_ENSG00000213050	0	0.05	0	0	0	0	0	0.09	0	0
RPL5P5_ENSG00000213051	0	0	0	0	0	0	0	0	0	0
EEF1B2P7_ENSG00000213055	0	0	0	0	0	0	0.08	0	0.07	0
C1orf220	0.09	0.05	0.04	0.09	0.05	0.04	0	0.04	0.09	0.04
ENSG00000213058	0	0	0	0	0	0	0.09	0	0	0
ENSG00000213060	0	0	0	0	0	0	0	0	0	0
PFN1P11_ENSG00000213061	0	0	0	0	0	0	0	0	0	0
ENSG00000213062	0.01	0	0	0	0.01	0.01	0.01	0.02	0.02	0.02
RPL29P7_ENSG00000213063	0	0	0	0	0	0	0	0	0	0
SFT2D2	3.41	3.21	3.87	3.44	4.19	3.52	4.14	6.23	6.24	5.39
ENSG00000213065	0	0	0	0	0	0	0	0	0	0
FGFR1OP	3.05	1.82	1.73	2.38	1.18	1.5	2.14	3.03	2.53	2.15
ENSG00000213067	0	0	0	0	0	0	0	0	0	0
ENSG00000213068	0	0	0	0	0	0	0.06	0	0	0
KRT8P40_ENSG00000213069	0	0	0	0	0	0.03	0	0	0	0
HMGB3P6_ENSG00000213070	0.04	0	0	0	0	0	0.07	0	0	0
LPAL2_ENSG00000213071	0	0	0	0	0	0	0	0	0	0
CHP1P2_ENSG00000213073	0.29	0.01	0.13	0.16	0.04	0.32	0.28	0.17	0.1	0.11
RPL31P11_ENSG00000213075	0	0	0	0	0	0	0	0	0	0
ENSG00000213076	0	0	0	0	0	0	0.1	0	0	0
ENSG00000213078	0	0	0	0	0	0	0	0	0	0
SCAF8	2.82	2.76	2.67	2.23	2.6	2.85	3.41	5.49	3.99	3.78
ENSG00000213080	0.03	0.04	0.01	0.01	0.02	0.01	0.01	0.13	0.03	0
ARPC1BP1_ENSG00000213081	0	0	0	0	0	0	0	0.09	0	0
PPP1R14BP2_ENSG00000213082	0	0	0	0	0	0	0	0	0	0.11
VPS26CP1_ENSG00000213083	0	0	0	0	0	0	0	0	0	0
CFAP45	0.02	0.04	0.1	0.1	0.02	0.06	0.18	0	0.05	0.06
ENSG00000213087	0	0	0	0	0	0	0	0	0	0
ACKR1	0	0	0	0	0	0	0	0	0	0
PDCL3P5_ENSG00000213089	0.03	0	0	0.04	0.04	0.04	0	0	0	0
SCYL2P1_ENSG00000213090	0.01	0.02	0	0	0	0	0	0	0.02	0
PHB1P1_ENSG00000213091	0	0	0	0	0	0	0	0	0	0
ZNF254	1.26	1.2	1.21	1.15	1.23	1.39	1.56	1.5	1.78	2.51
KRT18P68_ENSG00000213100	0	0	0	0	0	0	0.02	0	0	0
NPM1P46_ENSG00000213104	0	0	0	0	0	0	0	0	0.02	0
AHCYP5_ENSG00000213107	0	0	0	0	0	0	0	0	0	0
BTF3L4P3_ENSG00000213108	0	0	0	0	0	0	0	0	0	0
RPL7AP37_ENSG00000213109	0	0	0	0	0	0	0	0	0	0
RNF11P1_ENSG00000213110	0	0	0	0	0	0	0	0	0	0
COX5BP2_ENSG00000213111	0	0	0	0	0	0	0	0	0	0
TUBB8P8_ENSG00000213113	0	0	0	0	0	0	0	0	0	0
ENSG00000213115	0	0	0	0	0	0	0.02	0	0	0
MEMO1P2_ENSG00000213117	0	0	0	0	0	0	0	0	0.07	0
CHCHD2P4_ENSG00000213118	0	0	0	0	0	0	0	0	0	0
LIN28AP1_ENSG00000213120	0	0	0	0	0	0	0	0	0	0
ENSG00000213121	0	0	0.03	0	0	0	0.05	0	0	0
RPL23AP46_ENSG00000213122	0	0	0	0	0	0	0	0	0	0
TCTEX1D2	0.48	0.76	0.69	0.47	0.39	0.35	0.49	0.83	0.74	0.48
TXNL4AP1_ENSG00000213126	0	0	0	0	0	0	0	0	0	0
RPL32P31_ENSG00000213128	0	0	0	0	0	0	0	0	0	0
EEF1DP5_ENSG00000213130	0	0	0	0	0	0	0	0	0	0
YWHAZP4_ENSG00000213131	0	0	0	0	0.02	0	0.03	0	0	0
PPP1R14BP5_ENSG00000213133	0	0	0	0	0	0.16	0	0	0	0
ARF1P2_ENSG00000213137	0.31	0	0.24	0.29	0.03	0.1	0.16	0	0.1	0
CRYGS	0	0.04	0.1	0.05	0.05	0.02	0.02	0.1	0.08	0.05
ELK2AP_ENSG00000213140	0	0	0	0	0	0	0	0	0	0
ENSG00000213144	0.22	0.52	0.47	0.14	0.19	0	0.2	0.23	0.15	0.15
CRIP1	3.5	3.44	3.27	2.66	3.06	4.25	4.18	4.32	2.83	4.96
RPL23AP60_ENSG00000213147	0	0	0	0	0	0.13	0	0.08	0.12	0
JPT1P1_ENSG00000213148	0	0	0	0	0	0	0	0	0	0
CNN2P9_ENSG00000213149	0.02	0.14	0.07	0.11	0.03	0.02	0.18	0	0	0
ENSG00000213150	0.21	0.04	0	0	0	0.02	0.06	0	0	0.11
RPL7AP60_ENSG00000213152	0.05	0.15	0.04	0	0.05	0	0	0	0.08	0.04
ENSG00000213153	0	0	0	0	0	0	0	0	0	0
ZCCHC10P1_ENSG00000213155	0	0	0	0	0	0	0	0	0	0
RPL32P10_ENSG00000213157	0	0	0	0	0	0.07	0	0	0	0
GAPDHP36_ENSG00000213158	0	0	0	0	0	0	0	0	0	0
CEND1P1_ENSG00000213159	0	0	0	0	0	0	0	0	0	0
KLHL23	0.86	0.78	0.89	0.61	0.87	0.7	1.59	1.08	0.85	1.43
