GeneSymbol	D3_ISO6_LTL_1	D3_ISO6_LTL_2	D3_ISO1_LTL_1	D3_ISO1_LTL_2	D3_INT_LTL_PI_1	D3_INT_LTL_PI_2	D3_INT_LTL_LPS_1	D3_INT_LTL_LPS_2	D3_INT_LTL_5OP_1	D3_INT_LTL_5OP_2	D3_INT_LTL_C_1	D3_INT_LTL_C_2
BAZ1B	9.05	13.31	14.83	18.33	4.85	2.04	5.07	6.56	3.76	0.31	0.11	25.25
RANBP9	2.88	6.3	2.24	7.96	0	0	0	0	8.31	0	28.95	0
ETV7	2.07	0	1.57	0	0	0	4.71	0	0	0	0	0
SPRTN	23.8	5.18	24.18	1.67	3.56	1.21	7.55	0.83	16.4	0	53.53	1.66
EEF1AKNMT	32.85	2.9	3.53	6.13	1.77	0	13.85	11.26	15.11	0.29	0.95	0
DYRK4	28.02	29.74	0.62	3.72	0	0	72.88	38.93	1.34	10.77	0	3.18
ZNF207	18.96	18.97	29.32	41.3	6.35	49.1	13.04	3.61	10.86	13.81	10	6.75
UQCRC1	37.67	11.46	24.19	4.73	18.07	0	102.76	0	25.85	6.8	10.19	31.67
STARD3NL	4.34	2.02	5.27	0	0	0	0.5	0	3.15	0	1.82	0
CD9	21.32	10.29	18.28	15.93	0	19.85	23.16	0	12.64	5.64	0	7.6
HHATL	6.18	6.79	0.84	0	0	0	38.46	0	0	0	0	0
NCAPD2	18.12	21.37	40.61	4.25	27.18	0	0	0	68.55	0.48	0.25	38.79
IFFO1	16.83	8.84	5.06	7.98	5.99	0.09	7.16	0	33.27	13.73	15.42	0
GIPR	35.45	32.54	0.06	0.29	0	8.01	8.57	0	6.69	0	8.01	0
PHF7	26.27	8.33	13.04	1.56	17.27	0	41.96	41.89	13.38	0.19	25.28	11.14
SEMA3G	9.16	3.78	2.01	0.05	0	0	5.02	0	0	1.26	28.9	1.99
NISCH	40.89	56.59	20.43	48.21	32.67	16.43	26.91	19.51	87.04	0	27.6	0.14
STAB1	68.13	23.08	18.14	21.6	5.02	0	0.55	0	47.89	0	11.25	4.1
FUZ	3.18	12.55	1.46	6.09	33.89	0	6.1	0	0	0	0	26.51
SLC6A13	5.77	7.19	3.28	0	0	0	12.64	0	0	0	0	0
IDS	5.21	3.41	5.43	2.21	0.77	0	21.86	0	22.47	0.93	1.99	2.78
PRSS3	1.52	0	0	0.47	0	0	0	0	2.79	4.18	0	0
ZNF200	18.12	11.33	4.11	17.11	4.68	4.81	48	3.06	9.56	2.03	0	7.48
CD4	47.59	33.38	18.62	6.99	19.69	5.95	27.47	0	73.45	0.11	0	5.25
LRRC23	16.77	83.77	9.89	0	38.23	0	56.65	177.35	73.29	0	24.64	0
BTK	26.02	22.39	1.86	6.52	2.97	0	6.46	0	13.02	0	31.91	9.23
HFE	16.68	23.61	7.17	1.01	0	4.63	4.17	0.17	13.63	0.7	2.95	4.65
SCMH1	4.36	0.34	1.69	0	0	0	6.45	0	11.58	3.91	0.75	0.69
FYN	70.96	105.12	54.29	158.09	167.67	0.86	56.39	1.32	99.32	21.92	21.2	58.96
HIVEP2	15.95	15.8	9.01	4.61	4.03	3.35	31.11	5.36	21.84	12.95	19.55	7.36
FMO1	1.96	1.21	0.24	0	0	0	6.6	0	0	0.52	2.15	0
ELOA	15	27.53	3.86	13.39	5.41	1.28	8.3	6.83	8.9	1.95	9.55	0
LYPLA2	19.03	4.62	10.41	10.37	0	0	55.31	0	0	3.86	0	3.94
CLCN6	6.6	3.47	3.02	6.16	44.77	0.95	11.4	7.36	112.78	0	1.37	4.62
MRC2	2.34	4.86	4.01	2.21	4.71	0	9.13	0	2.64	0	0.76	0.95
NME1-NME2_ENSG00000011052	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A7	6.05	6.4	6.08	0.86	10.48	0	41.44	17.57	15.84	0	47.62	50.62
TSPAN9	20.11	1.94	0.88	5.32	0	0	25.46	0	59.78	1.43	47.04	0
BTBD7	20.04	16.55	9.37	15.2	10.26	0.02	17.88	5.16	11.09	2.71	14.86	1.59
APBA3	16.45	5.74	8.91	0	1.65	0	4.44	0.5	69.37	0	0	4.47
MKS1	28.64	11.75	11.09	5.76	47.3	0	45.57	12.3	38.8	8.73	36.7	3.84
ABHD5	0.65	12.07	3.43	2.74	0	3.84	21.11	6.6	0	0	10.13	0
ANOS1	5.98	0.69	5.07	0.78	26.16	0	0.42	0	0.81	0	0	0
