GeneSymbol	D4_ISO2_HEP_1	D4_ISO1_HEP_L_1	D4_ISO1_HEP_L_2	D4_ISO2_HEP_2	D4_INT_HEP_PI_1	D4_INT_HEP_PI_2	D4_INT_HEP_LPS_1	D4_INT_HEP_LPS_2	D4_INT_HEP_5OP_1	D4_INT_HEP_5OP_2	D4_INT_HEP_C_1	D4_INT_HEP_C_2	D4_INT_HEP_GL_C
ENSG00000287451	1.19	0.43	0.94	1.51	0	0	0	0	0	0	0	0	0
ENSG00000287452	5.93	5.44	12.09	4.85	0	0	0.1	4.08	0	0	0.35	4.02	0
ENSG00000287453	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287454	6.24	4.63	8.54	8	0	0.42	0.02	3.81	0	0.05	0.04	5.64	0
ENSG00000287455	9.65	1.43	12.62	12.88	0	0	0.06	5.09	0	0	0	3.63	0
ENSG00000287456	4	2.26	6.27	3.01	0	0	0	2.17	0	0	0	1.49	0
ENSG00000287457	8.16	3.16	12.78	4.56	0	0	0	4.97	0	0	0	2.89	0
ENSG00000287458	3.11	0.65	0.97	1.94	0.03	0	0.18	2.11	0	0	0.09	1.6	0
ENSG00000287459	2.98	1.7	3.75	5.28	0	0	0	0	0	0	0	1.66	0
ENSG00000287460	3.33	5.07	10.64	8.19	0	0	0.03	5.94	0.16	0	0.02	4.84	0
ENSG00000287462	4	3.2	11.79	10.09	0	0	0	0.68	0	0	0	3.73	0
ENSG00000287463	2.15	1.56	1.76	2.28	1.02	0	0	2.36	0	0	0.03	1.29	4.87
ENSG00000287464	3.88	0.34	0.76	3.05	0	0	0	2.64	0	0	0	0.9	0
ENSG00000287465	0	0	3.46	1.41	0	0	0	0	0	0	0	0	0
ENSG00000287466	2.04	2.16	4.3	2.37	0	0.15	0.08	3.41	0	0	0	1.46	1.8
ENSG00000287467	1.54	4.97	2.89	4.22	0	0	0	1.67	0	0	0	3.16	0
ENSG00000287468	2.22	0	0	0	0	0	0	0	0	0.31	3.27	0	0
ENSG00000287469	2.44	1.53	5.19	2.94	0	0.11	0.02	3.72	0.23	0	0	0.85	0
ENSG00000287470	2.25	1.27	2.12	1.13	0	0	0	3.05	0	0	0	0.21	0
ENSG00000287471	5.54	2.63	5.53	1.91	0	0	0	6.91	0	0	0	0	0
ENSG00000287472	7.49	2.06	7.65	2.85	0	0	0	3.98	2.05	0	0	4.41	0
ENSG00000287473	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287474	1.51	1.05	4.52	2.5	0	0	0	3.42	0	0	0.07	1.71	0
ENSG00000287475	3.4	1.36	3.9	3.99	0	0.23	0.07	2.49	0.03	0	0.13	2.1	5.62
ENSG00000287476	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287477	1.5	0.72	2.88	2	0	0	0	1.25	0	0	0	1.3	0
ENSG00000287478	0	0.31	0.68	0.54	0	0	0	0	0	0	0	0.4	0
ENSG00000287479	4.08	6.63	8.76	4.85	0	0	0	4.15	0.43	0	0.02	4.77	0
ENSG00000287480	4.73	2.32	4.44	2.06	0	0	0	4.5	0.32	0	0	2.54	0
ENSG00000287481	5.43	1.19	6.91	4.24	0	0	0.24	1.38	0	0	0	1.9	0
ENSG00000287482	3.28	1.6	0	2.38	0	0	0.05	1.29	0	0	0	0	0
ENSG00000287483	3.97	1.11	6.51	0.99	0	0	0	2.15	0	0	0	1.02	0
ENSG00000287484	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287485	4.94	3.42	8.82	6.23	0	0	0	4.32	0.06	0	0	2.89	0
ENSG00000287486	0.41	1.16	2.58	4.64	0	0	0	1.12	0	0	0	0.38	0
ENSG00000287488	1.07	0.25	2.24	0.45	0	0	0	1.94	0	0	0	0	0
ENSG00000287489	0	0	4.04	3.36	0	0	0	0	0	0	0	0	0
ENSG00000287490	0	0	0	0	0	0	0.19	0.2	0	0	0	0	0
ENSG00000287492	5.53	0.81	10.53	5.73	0	0	0.31	3.02	0	0	0	1.53	0
ENSG00000287493	3.72	2.62	5.25	4.66	0	0	0	2.52	0	0	0	3.47	0
ENSG00000287494	0.82	0.59	2.6	0	0	0	0	2.24	0	0	0	3.04	0
ENSG00000287495	2.02	0.95	2.11	2.94	0.1	0	0	1.19	0	0	0.03	0	0
ENSG00000287496	0	0	1.53	0.41	0	0	0	1.33	0	0	0	0	0
ENSG00000287497	3.28	2.07	4.3	2.08	0	0	0	0.82	0	0	0	0.87	0
ENSG00000287498	4.47	2.16	6.4	6.15	0	0	0	2.19	0.34	0.23	0.08	2.68	0
ENSG00000287499	2.14	2.37	4.8	3.06	0.19	0	0.01	2.9	0.04	0	0	2.56	0
ENSG00000287500	1.98	0	3.73	0.99	0	0	0	0	0	0	0	1.11	8.91
ENSG00000287501	0	0	0.76	0.61	0	0.62	0	0.66	0	0	0	0.67	0
ENSG00000287502	1.27	2.82	4.03	8.24	0	0	0	5.18	0	0	0	13.37	0
ENSG00000287503	0.68	1.47	3.24	1.74	0	0	0.26	1.86	0.29	0	0	0	0
ENSG00000287504	3.62	2.53	4.96	3.66	0	0	0.03	2.15	0	0	0.14	3.92	0
ENSG00000287505	5.18	1.86	11.74	4.56	0	0	0	5.21	0	0	0.02	0.39	0
ENSG00000287506	1.86	2.04	2.95	1.2	0	0	0	1.27	0	0	0	1.29	0
ENSG00000287507	0.61	3.05	1.92	3.08	0	0	0.99	1.66	0	0	0	2.55	0
