GeneSymbol	D4_ISO2_HEP_1	D4_ISO1_HEP_L_1	D4_ISO1_HEP_L_2	D4_ISO2_HEP_2	D4_INT_HEP_PI_1	D4_INT_HEP_PI_2	D4_INT_HEP_LPS_1	D4_INT_HEP_LPS_2	D4_INT_HEP_5OP_1	D4_INT_HEP_5OP_2	D4_INT_HEP_C_1	D4_INT_HEP_C_2	D4_INT_HEP_GL_C
SP6	1.57	1.02	2.59	3.08	0.06	0.15	0.39	2.38	0.04	0	0.64	1.6	0
ANKRD34B	1.7	1.05	1.47	1.16	0	0	0	1.66	0.04	0	0.11	1.15	0
PLAC9	6.24	2.94	6.48	4.25	0	0	0.59	5.3	0	0	0	4.72	0
FAM47B	1.39	1.57	2.95	2.37	0	0	0	2.12	0	0	0	1.38	0
NKAPL	4.8	2.88	4.65	6.26	0	0	0.49	2.17	0.76	0	2.55	0.53	0
UBE2Q2P1_ENSG00000189136	0	0	0	0	0	0	0	0	0	0	0	0	0
FSCB	1.59	1.42	4.78	1.82	0	0	0.05	1.54	0.63	0	0	1.17	0
CLDN4	6.94	4.41	7.75	6.05	10.1	5.04	5.92	7.23	2.79	1.68	2.12	8.08	0
ZNF573	1.9	4.14	5.76	3.37	5.39	0	0	5.21	1.08	3.13	0	22.42	0
RPL32P36_ENSG00000189145	0	0	5.48	2.26	0	0	0	2.34	0	0	0	3.12	0
ABCA15P_ENSG00000189149	0	0.48	0	0	0	0	0	0	0	0	0	0	0
GRAPL	8.43	7.1	17.37	9.69	0.02	0	0.33	11.85	0	0.01	3.65	10.91	0
FAM47E	16.82	5.63	26.87	13.84	4.98	0.79	1.64	18.5	2.85	0	0.82	7.33	1.48
JPT1	14.41	19.1	12.47	12.42	14.83	29.85	20.64	20.59	15.5	21.04	36.02	44.74	0
ZNF527	5.07	1.24	4.44	3.3	5.1	0	3.11	6.24	0.33	1.09	0	1.27	0
TNRC18P3_ENSG00000189166	0.33	0.37	0	0.41	0	0	0.01	1.58	0.28	0	0	0.48	3
ZAR1L	1.93	0.56	4.67	3.2	0	0	0	0.66	0	0	0	1.7	0
KRTAP10-12	0	0.71	0	0	1.4	2.21	0.12	2.05	0	0	0	0.7	0
S100A13	23.19	132.98	66.7	25.79	155.02	131.52	203.93	56.14	193.66	143.85	125.09	132.2	171.22
ZNF33A	11.75	8.23	12.09	14.28	4.84	8.47	2.68	11.57	2.39	2.96	10.73	10.06	4.38
OR14I1	6.63	3.14	5.88	3.49	0	0.01	0.02	5.52	0.03	0	0.08	1.65	0
KRT77	2.84	5.99	7.97	6.2	0.01	0	0.05	4.24	0	0	0	8.11	0
PCDH18	5.21	3.49	7.3	5.33	1.86	0	0.18	7.69	0.05	0.09	0.04	3.23	0
DCAF8L2	4.03	4.66	5.45	5.2	0	0.38	0.04	4.99	0.07	0	0.05	0.86	0
ZNF600	6.68	1.97	15.08	5.66	0.09	2.23	1.47	2.63	3.24	1.84	0.63	3.01	0
BTBD8	4.1	4.54	9.66	7.11	0.43	0.67	1.08	5.53	0.92	0.56	0.21	5.18	0
LINC00994	1.9	0.6	4.59	3.65	0	0.14	0.11	3.05	0.13	0	0.12	1.7	0
DPY19L2P1_ENSG00000189212	0	0	0	0	0	0	0	0	0	0	0	0	0
MAOA	9.45	15.44	16.49	11.77	12.43	12.44	12.22	13.62	11.85	12.02	13.05	14.88	14.38
PAX8-AS1	22.8	14.09	24.89	29.11	3.67	10.6	4.21	21.49	3.32	2.2	3.85	16.87	8.33
C15orf61	4.13	2.31	9.92	2.25	0.5	0	0	2.03	0.06	0	0.05	3	0
ENSG00000189229	8.53	4.19	19.39	6.86	0	0	0	10.42	6.41	0.04	0.76	7.66	0
NUGGC	1.95	1.72	3.59	1.75	2.28	0.62	0.84	2.28	0.32	1.86	0.41	2.95	0
LINC00943	26.08	15.57	29.33	27.64	0.53	0.09	0.09	20.63	0.03	0	0.16	9.09	0
TSPYL1	9.67	5.36	10.54	9.45	2.4	3.14	3.66	7.09	2.77	4.82	4.64	6.66	6.15
SPANXN3	1.76	1.27	0	0	1.28	1.25	2.37	0	0.78	0	0	0	0
TRIM64B	6.21	2.47	6.48	2.77	0	0	0.08	2.94	0	0	0	1.97	0
PNRC2	7.18	18.24	10.65	15.18	146.64	32.31	15.55	11.42	15.82	17.43	19.86	25.74	2.64
DRICH1	1.83	0.64	0.48	1.52	0	0	0	2.9	0	0	0	2.99	0
LINC01164	2.94	3.69	4.9	4.97	0	0.14	0.09	3.15	0.12	0.02	0.16	2.86	0
GJB5	1.16	2.03	7.27	3.62	0	0	0	5.51	0	0	0	1.76	0
FHIT	7.79	4.74	11.34	8.49	0.99	0.44	0.57	6.36	0.81	0.22	2.87	3.57	0
ALKAL2	10.27	3.21	11.3	13.58	0	0.07	1.99	13.7	0	2.41	0	5.07	0
ANKRD62P1-PARP4P3	0	0	0	0.57	0	0	0	0	0.5	0	0	0	0
ZKSCAN3	2.66	1.41	2.82	1.1	0.14	0.43	0.38	2.21	0.32	0.39	1.62	1.71	0
FOXR2	1.67	1.78	3.01	1.43	0	0	0	1.92	0	0	0.01	1.5	0
RRP7A	6.07	4.74	7.81	6.94	4.95	7.72	1.82	3.82	1.09	4.87	7.32	21.7	1.51
LIN54	2.83	2.32	5.46	3.07	4.37	5.83	4.94	5.85	3.22	4.17	6.4	4.09	11.4
ENSG00000189316	0	0	0	0	0	0	0	0.53	0	0	0	0	0
FAM53B	2.55	2.55	2.96	2.89	0.05	0	0.3	2.25	0.06	0	0.53	2.3	0
FAM180A	4.89	5.24	10.6	10.1	0.07	0	0.27	7.1	0.87	0	1.04	5.3	0
BNIP5	1.32	0.91	3.23	2.67	0	0	0.17	1.79	0	0	0	2.34	0
SPANXN4	1.38	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A51P4_ENSG00000189332	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A14	4.75	4.61	4.79	4.79	3.33	2.8	3.44	6.18	3.04	1.78	2.6	5.74	0
KAZN	5.89	3.79	7.6	7.54	0.18	0.15	0.27	4.25	0.07	0	0	4.53	0.51
SLC35E2B	5.99	3.52	6.32	8.23	1.25	0.21	0.86	4.85	0.34	0.8	1.14	6.34	0
RPS2P46_ENSG00000189343	2.89	4.22	5.48	4.18	0.62	0.83	0.84	4.05	2.27	0.93	1.34	3.82	0.28
FAM90A27P_ENSG00000189348	1.15	1.79	2.07	2.61	0	0	0	0.97	0.03	0	0.06	0.38	0
TOGARAM2	2.95	2.47	7.92	3.82	0	0.33	0.08	4.1	0.01	0	0	3.16	0.4
SPATA31D4	0	0.16	0	0	0	0.19	0	0	0	0.02	0	0.35	0
NEMP2	2.99	2.18	7.06	4.27	0	0.01	0.23	2.94	0.25	0	0.3	1.44	0
ALG1L	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0408	3.83	0.52	8.91	1.48	0.21	0.28	0.05	3.42	0	0.01	0.26	0.16	0
GSPT2	3.34	2.14	1.81	2.86	2.34	0.86	1.16	2.61	0.55	1.81	1.41	3.01	0
ENSG00000189372	0	0	0	1.63	0	0	0	0	0	0	0	1.15	0
TBC1D28	1.5	2.59	14.19	2.55	0.1	0	0	3.07	0.24	0	0.19	4.39	12.75
C8orf76	8.85	6.49	4.7	16.4	1.07	12.12	5.06	5.17	6.08	13.17	7.58	12.88	0
CXCL17	1.6	1.89	1.95	4.31	1.28	9.25	0.29	2.59	0.1	0	1.2	1.6	0
OR7E12P_ENSG00000189398	8.8	1.9	19.31	8.76	0	0	0.05	7.7	0	0	0	5.33	0
OTUD6A	0.88	0.92	0.69	0.55	0	0	0	1.79	0.08	0	0	1.23	0
HMGB1	35.37	84.28	79.3	54.44	209.92	197.74	137.68	70.21	167.07	206.69	163.98	86.29	57.74
MMP23B	2.99	1.24	3.69	2.31	0	0	0.06	5.87	0	0	1.17	3.53	0
SH2D5	2.22	1.38	4.05	3.58	2.62	0.78	1.21	5.33	1.1	0.08	0.7	6.91	4.85
SPATA41	7.02	4.62	10.12	7.66	0	0.17	0.62	6.01	0.23	0.38	1.23	4.32	0
ZFP92	0.48	0.78	1	1.25	0.14	0.18	0.13	0.94	0.1	0.1	0.14	1.13	0
USP32P3_ENSG00000189423	0	0	0	0	0	0	0	0	0	0	0	0	0
NCR1	6.84	8.23	4.37	8.1	0	0.02	0	15.47	0	0	0	3.71	0
RASSF10	2.05	0.98	2.2	1.74	0	0	0	0.87	0	0	0	1.68	0
GJB4	1.61	1.13	4.21	3.69	0	0	0.08	3.65	0	0	0	6.79	0
RNU1-75P_ENSG00000194297	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR494_ENSG00000194717	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU1-15P_ENSG00000195024	0	0	0	0	0	0	0	164.29	0	0	0	0	0
ENSG00000195401	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2L13	2.69	3.17	11.62	5.13	0.15	0	0.14	5.88	0.05	0	0	3.38	0
BLOC1S2	5.92	13.15	3.65	7.05	9.31	32.23	20.47	6.91	17.46	42.8	10.62	14.56	20.36
SYCP2	0	0	1.71	2.31	0.15	0	0	0.87	0	0	0.19	2.08	0
ZNF724	3.31	3.2	6.56	5.39	0.86	2.08	0.68	5.36	0	0.08	0	1.62	0
IL1RAP	9.48	5.03	10.84	15.32	0.41	7.9	1.13	6.1	1.06	2.55	1.08	7.58	0
SMIM7P1_ENSG00000196085	8.55	0	0	12.97	0	0	0	0	0	0	0	0	0
PTPRT	2.97	2.07	4.34	3.36	0.02	0.08	0	2.71	0.02	0	0	2.03	0
MYBPC1	16.26	4.6	17.52	9.31	0.7	0	0	6.83	0.17	0.4	0.25	3.11	0
PAX5	8	2.88	8.46	9.67	0	0.2	0.06	7.33	0.31	0	0.07	9.66	0
SPAG16-DT	3.81	4.32	5.43	2.97	0	0	1.05	4.35	0	0	0	2.58	0
OR5K4	5.28	3.11	13.12	6.08	0	0	0	3.59	0.29	0	0	3.69	0
OR6M1	9.09	7.4	14.98	16	0	0	0.54	4.32	1.25	0	0	5.5	0
SPOCK3	4.56	1.21	1.8	3.42	0	0	0.55	2.62	0	0	5.16	1.26	0
ZNF676	1.87	1.82	6.12	3.03	0	0	0.08	3.72	0.26	0	0	1.75	0
ZNF699	5.45	1.84	4.9	6.46	0.05	0.14	0.65	2.26	0.21	0.37	0.38	2.14	8.03
IFITM3P3_ENSG00000196114	0	0	2.83	2.33	0	0	0	0	0	0	0	8.84	0
ADAM5_ENSG00000196115	0	0	0	0	0	0	0	0	0	0	0	0	0
TDRD7	2.78	3.77	4.21	3.42	4.81	4.26	2.08	2.97	4.41	2.02	2.69	4.65	0
CCDC189	2.92	1.71	5.08	2.04	0.14	0	0.71	2.07	0.72	1	0.86	3.29	0
OR8A1	4.61	2.9	11.27	3.97	0	0	0.5	3.09	0.1	0	0.16	5.15	0
KIAA0895L	3.96	3.24	4.75	7.94	0.75	0.12	0.41	10.47	0.06	0.04	0.23	5.86	0
HLA-DRB1	4.17	5.81	14.18	8.98	3.87	5.17	5.71	8.95	2.53	8.47	2.67	8.12	0
VN1R2	9.35	4.24	12.28	12.05	0	0.8	0	5.32	0.68	0	0	5.78	0
MYT1	6.28	5.22	16.62	9.71	0.04	0.06	0.13	6.14	0.01	0.1	1.15	3.89	0.01
SERPINA3	61.71	59.44	70.36	72.86	55.4	70.03	51.44	65.74	53.42	72.68	90.55	53.09	55.76
AKR1C3	106.82	156.35	101.39	136.81	349.38	349.81	266.71	269.13	326.89	400.27	250.3	339.48	168.24
SPATS2L	39.39	36.04	38.86	53.4	57.73	30.43	39.36	50.18	48.03	48.14	59.54	56.67	81.92
OR11H13P_ENSG00000196143	8.48	3.38	13.57	9.23	0	0	0.36	5.29	0	0	0	0.81	0
ZNF250	3.23	3.37	6.36	3.2	0	0	1.51	1.76	0	0.03	3.08	2.36	0
WDSUB1	0.39	0.72	2.4	1.87	0	1.19	0	1.79	0.41	0.15	0.67	0.12	0
ZNF79	5.28	6.97	5.9	6.77	2.09	0.75	0.56	4.73	0.8	0.04	2.19	5.83	0
S100A4	12.13	6.55	1.75	12.59	19.5	0	7.28	6.02	2.21	13.14	4.5	1.89	4.41
PLEKHG4	2.44	3.06	1.92	3.17	0	0.01	0.03	2.87	0	0	0	5	2.66
KRTAP4-3	0	0.6	2	1.6	0	0	0	1.74	0	0	0	0.99	0
FAT4	5.7	2.51	9.79	10.59	0.16	0.11	0.19	8.18	0.42	0.23	0.25	2.95	0
C8orf86	5.75	4.09	8.13	7.8	0.02	0.44	0.18	3.9	0	0	0	4.3	0
COLCA1	3.89	1.38	4.44	3.2	0	0	0.12	2.16	0	0	0.11	2.22	0
KIF19	7.57	4.9	11.71	14.45	0	0.12	0.18	9.56	0	0	0.23	6.74	0
OR6K2	13.48	4	16.37	6.55	0	0	0.21	10.04	1.76	0	0.17	9.11	0
ZNF681	0.69	0.55	0.9	0.65	0	0.33	0.06	0.57	0.12	0	0	0.1	0
ACADSB	9.9	4.68	11.42	11.46	5.89	5.39	4.15	8.99	5.47	6.42	16.46	7.25	2.4
STK40	6.65	4.98	7.5	4.84	4.04	1.62	4.82	6.89	0.97	3.07	10.22	14	8.84
RPS2P4_ENSG00000196183	0.52	1.1	5.67	1.95	0.41	0	0	3.5	0	0	0	2.79	0
OR10J1	6.38	7.02	10.38	9.07	0	0	0.1	3.14	1.11	0.02	0	3.74	0
TMEM63A	18.87	14.27	28.23	10.04	1.91	1.85	3.14	9.85	0.64	1.03	2.48	15.23	0
CTSE	6.69	8.19	13.7	3.98	0	0.28	0.86	2.07	0.46	0.26	0.87	2.78	0
SEMA4A	11.65	13.42	20.63	15.45	0.44	0.52	0.89	8.85	0.18	0.37	1.17	11.74	2.31
HRCT1	2.75	0.65	3.6	2.31	0	0	0.06	1.25	0	0	0	3.2	0
MPHOSPH8	5.61	7.44	10.99	5.52	9.6	13.59	6.2	9.24	7.56	6.47	6.87	13.88	5.54
RNF216P1_ENSG00000196204	10.56	7.52	6.24	8.99	36.29	35.52	25.33	9.2	10.35	20.56	17.92	10.13	0
EEF1A1P5_ENSG00000196205	5.83	6.98	9.56	8.1	10.62	12.31	13.52	8.08	11.51	17.23	12.77	6.27	1.09
GREB1	10.5	13.58	9.86	12.43	0.34	0.02	4.91	7.24	0.66	0	12.63	7.4	0.2
SIRPB2	4.37	4.33	8.73	4.44	0	0	0.09	6.71	0	0.03	0.04	2.57	0
ZNF766	7.5	3.28	10.01	11.15	1.87	1.59	1.59	8.12	4.39	0.69	11.56	19.68	0
RYR1	7.38	5	1.52	2.33	0	0.01	0.01	0.18	0.57	0.28	4.25	2.4	0.18
SRGAP3	26.42	18.37	42.11	24.82	0.91	1.15	1.28	18.58	0.05	1.04	0.13	25.2	5.1
KRTAP5-3	2.9	0.34	0.76	2.43	0	0.05	0	1.97	0	0	0	2.25	0
FAM217B	5	1.51	14.45	2.94	3.66	1.08	1.28	5.22	1.64	1.87	1.2	4.52	0
SULT1C3	1.37	0.45	0	0.8	0.21	0	0.22	0.87	0	0	0	0.19	0
TUBB	49.88	83.59	71.91	58.9	71.69	49.75	80.79	86.9	56.06	78.71	77.11	98.27	36.2
LCOR	12.52	9.47	15.5	16.15	3.84	5.11	3.1	10.95	6.76	2.88	5.39	24.61	0
SUPT5H	32.65	12.48	45.69	25.31	81.73	35.78	49.65	32.37	20.58	24.82	77.93	86.82	1.61
XPNPEP3	7.7	2.7	9.63	8.46	1.59	2.41	3.19	5.17	5.28	5.37	13.62	4.28	0
OR2T2	5.09	4.41	9.78	9.88	0	0.07	0	4.93	0.01	0	1.53	5.97	0
OR2C3	3.45	3.25	6.11	4.8	0.02	0.47	0.07	2.22	0	0	0.06	2.32	0.77
LINC00615	5.55	2.53	12.17	5.54	0	0.34	0	5.65	0	0	0	3.11	0
ZNF107	12.13	10.02	15.86	18.87	0.49	0.15	0.73	12.08	5.89	0.98	1.26	10.06	0
OR10S1	10.95	12.34	15.44	17.36	0.03	0.19	0.09	14.37	1.26	0	0	10.38	0
SFTA2	0.8	1.16	5.08	7.19	0	0	0	1.09	3.82	0	1.11	4.84	0
PPIA	138.57	308.24	180.11	167.23	130.64	126.86	121.16	300.2	120.45	181.33	147.8	353.17	268.42
ZNF471	3.3	3.71	3.93	3.45	0.09	0.21	0.06	2.6	0.21	0.34	0.01	2.69	3.09
OR10J3_ENSG00000196266	5.92	3.87	5.72	5.73	0	0.05	0.05	3.1	0	0.24	4.48	2.97	0
ZNF836	7.66	2.38	7.06	6.34	0.17	0.91	0.56	1.27	0.33	0.65	0.57	1.88	13.64
ZNF493	20.17	13.17	25.41	19.41	0.04	0.9	3.05	13.57	0.85	0	0.36	6.89	0
LINC00523	3.72	4.04	4.34	4.16	0	0	0.77	2.9	0	0	0	6.26	0
ENSG00000196274	0	0	0	0	0	0	0	0	0	0	0	0	0
GTF2IRD2	13.8	8.26	18.11	16.18	0.1	0.79	0.74	14.95	0.05	17.37	0.01	9.86	0
GRM7	10.59	7.43	19.17	12.35	0.31	0	0.13	11.61	0.66	0.2	3.08	5.95	0
SUPT3H	3.5	2.01	5.43	5.9	0.99	4.27	0.71	5.28	2.42	1.05	0.08	2.73	0
BECN2	2.14	0.43	4.31	3.82	0	0	0.07	1.25	0	0	0	0.86	0
NIF3L1	18.56	12.46	22.77	20.94	9.04	2.41	3.76	9.38	2.34	2.57	2.52	14.5	0.85
GARS-DT	27.78	14.92	35.85	27.67	3.58	1.64	3.28	23.8	2.41	0.86	12.19	20.1	18.26
ATP2A1	2.6	3.61	2.25	1.69	0	0	0.01	0	0	0.02	1.3	0.71	0
HLA-DRB9_ENSG00000196301	0	1.96	4.01	10	0	0	0	3.39	0	0	0	0	0
GUSBP15_ENSG00000196302	0	0	2.76	2.33	0	0	0	0	0	0	0	2.21	0
IARS	22.49	19.14	27.78	26.36	13.93	16.84	12.09	31.01	13.2	15.88	17.5	31.67	15.16
MFSD14C	0	0	0	0	0	0	0	0	0	0	0	0	0
POM121	5.5	2.94	6.66	6.39	3.24	1.91	2.41	6.98	1.28	0.5	4.74	5.51	3.36
ZBTB44	7.05	4.2	10.93	10.95	2.82	2.25	2.39	10.31	1.14	3.24	3.49	3.41	0
GIMAP5	8.12	5.14	9.89	6.13	0.74	0.27	0.52	7.71	0.53	0.4	0.02	7.05	0
STK31	0.8	0.67	2.1	0.93	0.11	0	0.12	0.15	0	0	1.12	1.64	0
CGB7	1.25	1.07	1.81	1.29	0.01	1.06	0.25	1.98	0.3	0	0.41	1.84	1.28
NLGN3	4.85	4.3	6.61	9.09	0	0.02	0.31	4.02	0.36	0.01	0.01	7.44	0
OR8D1	8.96	3.84	13.54	18.19	0	0.06	1.07	7.92	0.1	0	0.02	10.97	0
ADH7	2.15	0.91	0.5	1.24	0	0	0	0.24	0	0	0	0.58	0
ZKSCAN7	2.59	1.38	5.46	2.58	0	0	0.25	1.11	0.16	0.91	0	1.5	0
ZNF729	0.18	0	0.43	0.23	0	0	0.01	0.49	0	0	0	0.26	0
CD55	8.57	14.94	13.1	11.89	20.7	9.96	12.71	13.73	12.15	23.44	27.39	11.06	34.36
CPNE4	5.46	3.61	9.81	6.98	0.03	0	0	4.42	0.59	0	0.18	1.83	0
ZNF565	10.01	4.44	14.01	13.61	0.4	0	0	10.2	0.43	0.2	0	24.1	0
NTNG2	1.34	1.89	2.27	1.38	0.03	0	0.07	2.07	0.03	0	0	3.04	0
ELAVL3	1.17	0.46	0.68	1.4	0	0.15	0.04	8.42	0.04	0	0.3	0.34	0
WDR5	3.71	3.15	4.04	4.48	1.37	0.84	1.66	4.58	0.2	0.32	1.12	7.05	0
PRSS29P_ENSG00000196364	0	0	0	0	0	0	0.19	0	0	0	0	0	0
LONP1	15.59	6.19	10.56	6.58	15.52	18.17	8.73	14.08	3.78	8.81	5.38	23.9	7.16
C9orf163	2.11	0.68	1.94	1.22	0.12	0	0	0.95	0	0	0	1.05	9.26
TRRAP	5.23	5.87	7.79	8.8	1.87	1.41	1.03	5.92	0.94	1.28	4.16	5.46	0
NUDT11	0.76	0.53	1.92	0.57	0.19	0	0	1.58	0	0	0	1	0
SRGAP2B	6	1.6	5.12	3.82	0.62	0.41	0.96	5.56	1.3	0.02	2.04	3.51	0
FUT4	2.36	1.71	3.94	2.98	0.11	0.01	0.2	2.34	0.02	0.21	0.17	2.37	0
ASB13	0.28	1.66	9.04	3.25	0.13	2.07	1.4	3.44	0.79	0.11	2.74	4.71	5.12
SLC35F1	2.83	0.81	3.39	2.49	0	0	0	2.35	0	0	0	0.8	0
ZNF34	2.01	1.4	3.69	2.25	0	0.22	0.33	3.26	0.33	0	0.02	1.33	0
ZNF781	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4Q2_ENSG00000196383	2.45	1.44	3.43	3.52	0.01	0.73	0.03	1.4	0	0	0.02	0.67	0
ZNF140	7.61	5.84	9.82	5.91	0.69	4.98	1.03	6.35	3.19	0.57	3.86	6	0
INCA1	0.87	0.92	1.86	1.95	0	0	0	0.77	0	0	0	0	0
ENSG00000196390	1.4	3.01	13.22	5.33	0	0	0	0.95	0	0.04	0	10.69	0
ZNF774	7.7	4.13	9.25	8.13	0.76	0.5	0.38	5.33	0.41	0.07	0.38	3.16	0
ENSG00000196395	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPN1	5.93	5.52	7.74	5.17	3.68	2.96	1.83	5.09	3.12	1.84	6.29	7.23	1.9
OR10D1P_ENSG00000196403	4.58	3.89	3.6	5.19	0	0	0	3.74	0	0	0	1.92	0
EVL	15.1	13.22	9.63	21.35	1.97	0.09	1.23	18.76	4.11	1.67	4.19	27.97	0
SPANXD	3.53	0	4.45	0	0	0.56	0	1.92	1	0	0	3.93	0
THEM5	0.35	0.25	0	0	0	0	0	0.95	0	0	0	0.49	0
NOXO1	0	0	0	0	0	0	0.07	0	0	0	0.25	0.3	0
EPHB4	4.73	2.21	2.69	4.29	3.72	1.77	0.7	3.6	1.56	4.59	0.67	8.61	0.14
PRTN3	0.86	0	0.67	2.69	0	0	0.14	0.58	0	0	0.45	3.19	0
ZNF765	5.52	6.48	8.82	11.12	1.81	0.45	1.1	8.98	0.65	3.78	0.64	10.04	0.87
ZNF124	11.08	3.87	4.17	5.08	1.5	1.45	0.83	4.42	0.28	0.77	1.7	2.61	0
XRCC6	25.42	63.08	44.08	46.24	153.51	240.05	158.83	51.33	148	255.34	239.03	83.53	85.36
S100A5	2.55	1.31	3.02	2.54	0	0	0	4.23	0.34	0	0	3.97	0
C20orf204	1.51	0.95	2.69	3.15	0.07	0	0.05	2.3	0	0	0	1.73	0
PPP1R26	4.53	1.77	2.05	2	0.05	0.01	0.86	2.93	0.23	0.01	1.76	2.67	0
NBPF4	1.4	0.64	1.37	1.9	0	0	0	0.31	0	0	0	1.62	0
TSC22D2	8.45	3.02	8.7	3.16	0.45	0.33	2.86	4.47	1.33	0.68	3.44	7.18	1.11
CRYBA4	0	0	1.22	0	0	0	0	0	0	0	0	0	0
ASMT	0.56	0.95	0.23	0.19	0	0	0	0.76	0	0	0	0.36	0
NPIPB15	7.11	3.76	12.82	11.92	0.01	0.11	0.19	9.37	0.71	0.05	0	19.9	6.69
ZNF569	1.92	1.58	1.35	1.72	1.17	0.97	0.81	1.52	0.7	0.32	5.44	0.31	0
ARMCX4	2.41	2.5	4.71	2.81	0.44	0.04	0.42	3.57	0.06	0.04	0.04	2.55	3.56
YRDC	2.63	1.7	4.12	3.78	0	0	0.09	3.3	2.2	0.47	0.51	4.45	0
ZNF777	1.23	1.09	2.8	1.66	1.96	1.81	1.11	1.97	0.13	0.14	5.6	1.42	1.72
PIK3R4	3.84	4.06	4.88	7.42	0.27	3.91	1.36	5.74	3.47	4.03	0.81	1.78	0
ZNF775	0.49	1.05	0.25	1	0	0.14	0.12	0.66	0	0	0	1.07	0
ZNF605	10.48	6.26	19.1	12.06	1.91	1.09	0.4	14.06	1.13	0.81	3.03	8.53	0
TRAPPC2	2.93	1.33	6.16	3.59	0.32	0.75	0.67	2.18	0.99	0.02	1.21	2.01	0
RFX8	2.63	1.26	5.72	5.98	0	0	0	4.02	0.08	0.19	0	1.39	0
MYL6B	4.77	3.81	11.07	8.36	0	2.5	2.68	11.18	3.52	7.54	0	11.38	0
ZNF799	2.75	1.72	3.26	3.71	1.18	3.75	1.15	1.14	2.15	0.4	1.58	1.66	0
FGF16	0.46	0.16	1.43	0.85	0	0	0.15	0.31	0	0	0	0.32	0
SIAH1	15.41	9.07	16.99	26.28	0.85	0.02	2.99	21.2	1.8	0.68	2.79	15.78	0
ENSG00000196472	0	2.37	10.44	7.57	0	0	0	0	0.28	0	0	0.61	0
GK2	3.2	3.21	2.5	3.98	0	0	0	2.72	0	0	0.27	1.97	0
C20orf96	1.46	0	0.43	0.68	0.92	0	0.78	0	0	0.25	3.25	0.57	0
ESRRG	8.11	6.35	17.37	9.34	0	0.28	0.18	8.95	0	0	0.4	4.79	0
IPO4	15.21	7.83	18.67	24.68	17.52	9.49	8.68	16.52	7.58	3.98	19.26	33.73	0
NCOR2	15.79	5.34	16.45	18.84	7.08	6.54	5.02	7.84	1.8	0.82	18.49	28.96	0
SULT1A1	1.56	4.81	3.58	5.4	8.65	6.1	8	2.65	2.51	6.7	8.67	8.46	13.72
ARL9	3.48	1.84	5.98	3.33	0.12	0	0	1.99	0.2	0.25	0	3.12	0
PRPF40A	30.55	54.34	28.08	27.6	56.66	29.4	38.71	48.44	87.25	36	52.52	90.13	14.65
GDAP2	8.53	6.22	16.94	6.42	1.58	5.56	1.93	8.02	1.63	1.71	4.88	2.58	4.59
TCEAL3	8.21	3.42	7.33	3.84	7.65	8.04	10.36	6.38	8.01	4.21	10.07	3.42	0
ANAPC7	9.34	18.02	18.06	19.35	8.59	2.21	3.43	19.82	3.01	7.72	22.18	15.55	0
TPK1	5.99	8.89	31.71	20.46	0.3	2.51	0.34	10.51	0.43	0.28	3.43	4.92	0
SLC6A9	0.23	1.5	5.11	3.37	0.56	0	0.53	3.03	0	0	0	1.76	0
AFAP1	6.97	2.48	21.89	4.41	0.81	0.07	0.18	3.28	0.11	0.46	0.77	13.02	0
NACA	286.95	612	344.63	513.99	4402.95	4418.12	3602.61	587.2	4085.47	4983.95	3491.08	962.38	1426.3
OR9K1P_ENSG00000196534	8.97	0.72	6.3	3.92	0	0	0	5.74	0	0	0	0.3	0
MYO18A	18.43	17.42	21.22	19.49	11.38	6.31	11.7	33.45	5.77	6.36	19.66	32.8	6
OR2T3	3.12	7.81	13.06	7.9	0	0	0.53	4.6	0	0.03	0.19	4.67	0
SPTSSB	4.83	1.15	12.44	5.43	0	0.31	0.07	7.08	0	0.02	0.15	3.94	0
BORCS6	2.04	2.14	2.23	4.82	1.19	0	0.82	3.6	0	0.14	0	2.2	0
MAN2A2	6.99	13.2	10.08	14.53	2.55	0.01	2.02	22.65	1.7	0.39	6.14	28.45	0
MME	19.05	9.81	34.17	11.14	4.69	2.08	4.74	18.75	4.07	6.05	10.4	7.99	3.01
FAM72A	12.75	14.66	33.78	25.28	0.1	0.99	2.88	11.15	0	4.19	0.66	13.58	0
CCDC196	3.91	0.72	4.61	0.77	0	1.29	0.98	1.12	0.05	5.2	1.18	1.54	0
CACNA1H	3.57	2.18	2.1	1.83	0	1.61	0.56	2.76	0.08	0.03	0.05	4.7	0
SULF2	7.73	7.95	13.53	8.67	0.57	3.47	2.21	7.47	1.6	2.91	2.96	8.03	8.55
BLOC1S6P1_ENSG00000196564	0	0	1.96	1.58	0	0	0	0.85	0	0	0	0.29	0
HBG2	0.69	0	2.81	0.88	0	0	0.26	4.14	0	0	0	5.89	0
ENSG00000196566	0	0	0	0.79	0	0	0	2	0	0	0	0.87	0
LAMA2	16.22	10.2	29.6	19.65	0.52	0	0.44	18.24	0.55	0.02	0.55	9.55	0
