GeneSymbol	D3_INT_EPIi_PI_1	D3_INT_EPIi_PI_2	D3_INT_EPIi_LPS_1	D3_INT_EPIi_LPS_2	D3_INT_EPIi_5OP_1	D3_INT_EPIi_5OP_2	D3_INT_EPIi_C_1	D3_INT_EPIi_C_2	D3_ISO1_EPIi_1	D3_ISO1_EPIi_2
TMEM132A	0.72	0.45	1.66	1.21	0.42	0.87	1.46	2.65	1.41	2.11
AP2B1	11.06	12.63	14.74	12.54	10.74	17.01	29.86	24.45	7.67	8.19
TAC1	0	0	0	0	0	0	0	0	0	0
ZNF263	0.63	0.65	0.9	0.76	0.55	0.43	0.77	0.85	0.72	1.28
CX3CL1	1	0.32	0.97	1.18	0.65	0.61	0.69	1.08	153.72	184.22
SPATA20	6.99	8.8	7.87	7.48	6.18	4.43	9.28	9.53	3.48	4.83
CACNA1G	0.01	0.02	0.02	0.01	0.01	0	0.01	0	0	0
TNFRSF12A	2.27	2.38	3.24	5.67	2.57	2.03	4.24	3.63	5.72	8.06
DLX6	0	0	0	0	0	0	0	0.03	0	0
MAP3K9	1.4	1.72	1.5	1.73	1.34	1.66	2.41	2.04	0.91	1.2
RALA	12.82	15.88	14.32	12.47	16.37	18.67	18.88	20.26	17.8	25.41
BAIAP2L1	30.07	26.47	29.85	26.22	34.49	37.65	39.67	38.95	42.31	47.63
KDM7A	5.27	5.74	3.79	3.77	5.36	4.04	6.04	5.99	10.4	14.15
ETV1	0.11	0.03	0.02	0.18	0.01	0.09	0.29	0.35	0.42	0.05
AGK	1.14	0.64	0.79	0.47	0.33	1.06	1.67	3.02	1.76	2.44
ALDH3B1	8.66	18.91	17.06	14.55	8.01	5.78	12.63	14.52	7.82	15.84
TTC22	5.58	6.22	7.21	7.05	7.29	6.21	7.1	8.79	20.68	29.54
PHTF2	1.62	1.1	1.23	1.27	1.61	1.43	1.06	1.15	0.41	0.3
CCL26	0.07	0.09	0.17	0.05	0.22	0.15	0.26	0.07	0.19	0.24
FARP2	10.5	9.71	12.01	9.56	11.3	13.4	16.03	15.59	14.28	18.42
USH1C	50.32	56.44	58.03	58.54	49.86	52.78	59.94	71.51	36.17	54.51
GGCT	1.63	1.56	1.79	1.84	1.31	1.83	5.36	4.1	0.83	0.81
DBF4	0.12	0.1	0.34	0.37	0.23	0.63	0.26	0.5	0.45	0.24
TBXA2R	0	0	0	0	0	0	0	0	0	0
IFRD1	6.13	3.26	5.01	3.57	5.09	6.61	4.87	5.41	2.68	5.7
LGALS14	0	0	0	0	0	0	0	0	0	0
COX10	1.82	1.12	1.17	1.35	1.17	1.44	4.22	3.41	1.12	1.57
GTF2IRD1	5.06	3.69	3.53	2.99	3.59	4.99	2.52	2.42	6.14	6.41
PAF1	4.68	4.57	4.59	4.91	5.28	5.59	7.97	7.14	8.92	10.96
VPS41	8.01	6.33	5.64	4.44	8.17	8.61	9.01	10.09	7.04	12.26
ARHGAP44	0.6	0.71	0.51	0.61	0.34	0.49	0.8	0.93	1.42	1.52
ELAC2	2.12	1.39	3.12	2.59	1.44	2.31	6.36	6.12	2.33	3.12
SCIN	45.4	44.64	44.6	44.48	55.91	59	28.12	37.37	12.96	23.03
ARSD	5.49	6.01	6.35	5.68	4.71	5.7	8.98	7.69	4.27	5.54
PNPLA4	1.48	1.99	1.77	1.4	1.18	2.24	3.12	3.7	0.97	0.87
MYH13	0	0	0	0	0	0	0	0	0	0
ADIPOR2	27.03	21.85	22.81	23.67	28.24	35.25	26.7	25.93	21.25	26.65
CDKL3	0.01	0.04	0	0	0.05	0	0.21	0	0.04	0.05
UPP2	0	0	0	0	0	0	0	0	0.1	0.01
PRSS21	0.75	0.76	0.7	0.66	0.8	0.93	0.71	0.5	0.64	1.02
MARK4	4.81	4.47	6.19	6.24	5.62	6.53	6.67	6.68	3.36	7.28
PROM1	16.98	16.44	14.83	15.27	17.27	23.23	17.55	18.49	19.3	21.04
CCDC124	2.03	3.88	2.36	4	1.67	1.51	5.22	4.74	3.31	4.28
CEACAM21	0	0	0	0.06	0	0	0	0.07	0.2	0
PAFAH1B1	16.26	12.66	14.97	15.88	17.04	18.79	19.5	20.81	18.89	20.92
NOS2	0.72	1.7	1.38	1.35	1.24	1.11	0.73	1.22	176.19	209.95
DNAH9	0	0.06	0.02	0.01	0.03	0	0	0.13	0.13	0.07
KIAA0100	14.37	18.14	18.23	11.36	15.88	19.77	24.03	25.99	6.71	9.65
SLC13A2	0.05	0.18	0.06	0.04	0.01	0.05	0.04	0.14	0	0
GAS7	0.32	0.05	0.45	0.25	0.14	0.08	0.5	0.22	0.44	0.81
TRAPPC6A	0.6	1.29	1.05	1.36	0.78	1.09	1.41	1.57	0.99	0.67
MATK	0	0.02	0	0	0	0.03	0	0	0	0
CEACAM7	5.9	7.86	7.25	5.67	7.88	12.16	3.21	5.74	8.65	16.29
CD79B	0	0	0	0	0	0	0	0	0	0
SCN4A	0	0	0.01	0	0	0	0	0	0	0
ST7L	0.78	1.04	1.22	1.18	1.56	0.84	2.79	2.09	1.25	1.41
TKTL1	0	0	0	0	0	0	0	0	0.03	0
PAX6	0	0	0	0	0	0	0	0	0	0
RPUSD1	0.07	0.67	0.46	0.72	0.13	0.23	0.42	0.27	0.13	0.37
RHBDF1	3.82	5.37	5.1	4.9	2.88	4.01	7.15	10.22	4.57	5.82
LUC7L	1.13	1.01	1.07	0.85	3.22	2.24	2.7	2.4	1.77	3.47
CACNA2D2	0	0.07	0	0.01	0.01	0.02	0.01	0	0	0
BAIAP3	0.18	0.43	0.09	0.15	0.06	0.15	0.21	0.1	0.09	0.33
TSR3	1.24	2.59	2.53	2.9	1.37	0.87	2.18	2.94	1.09	3.23
PIGQ	0.71	0.78	1.24	1.1	0.93	0.24	0.57	0.86	0.9	2.13
CRAMP1	0.67	1.21	0.55	0.75	0.99	0.82	0.84	0.87	1.89	1.91
TEAD3	2.58	2.46	2.75	2.99	2.26	2.19	2.54	2.92	2.74	3.88
SELE	0	0	0	0	0	0	0	0	0.01	0
DNAJC11	4.46	4.65	4.7	3.78	4.79	5.48	21.89	16.62	4.96	2.7
FMO3	0	0	0	0	0	0	0	0	0	0
MYLIP	0.26	0.35	0.33	0.35	0.3	0.44	0.69	0.41	0.15	0.27
NOX1	0.46	0.92	0.83	0.6	0.45	0.71	1.87	2.17	0.42	0.44
E2F2	0.17	0.13	0.16	0.11	0.22	0.14	0.26	0.18	0	0
PSMB1	14.32	13.08	16.27	14.05	16.42	17.12	25.84	21.05	23.81	26.58
