GeneSymbol	D3_ISO6_LP_1	D3_ISO6_LP_2	D3_ISO1_LP_1	D3_ISO1_LP_2	D3_INT_LP_PI_1	D3_INT_LP_PI_2	D3_INT_LP_LPS_1	D3_INT_LP_LPS_2	D3_INT_LP_5OP_1	D3_INT_LP_5OP_2	D3_INT_LP_C_1	D3_INT_LP_C_2
BAIAP2L1	16.24	19.02	0.91	0.32	82.85	0	9.15	0	10.96	0	0	0
KDM7A	9.96	18.85	0.63	4.2	8.6	0	0.83	1.06	1.56	0.23	0.29	0.07
ETV1	8.32	16.99	0.09	0.32	14.49	0.47	1.05	0	0	19.6	0	0
AGK	55.66	49.13	28.36	31.64	44.28	0.41	8.54	0	0	1.97	3.68	1.08
ALDH3B1	9.96	4.37	0.15	0.37	24.71	0	0	0.81	4.3	0.91	0.09	0.12
TTC22	14.91	21.97	1.3	1.88	14.1	0	0	0	10.82	0	0	0
PHTF2	10.62	10.33	21.97	19.36	8.77	0	2.64	0	0	0	0.2	0.28
CCL26	0	0	0	0	0	0	0	0	0	0	0	0
FARP2	40.34	21.22	12.35	10.92	170.37	0	0.12	0	0	0.68	0.09	0.09
USH1C	8.64	13.95	0.37	0.19	2.36	0.15	0	0	0	2.04	0	0
GGCT	2.63	14.98	22.43	22.33	0	0	0	0	0	0	0	0
DBF4	12.93	15.23	41.07	42.23	0	0	0	0	36.99	0	0	0
TBXA2R	4.54	9.33	0.06	0.02	4.93	0	0	0	0	0	0	0.43
IFRD1	16.95	44.76	4.55	9.11	4.77	0	0	0	0	0.6	0.46	2.34
LGALS14	0	0	0	0	0	0	0	0	0	0	0	0
COX10	22.51	19.44	6.35	6.95	10.02	0	14.43	0.18	0.22	0.54	1.7	0.48
GTF2IRD1	3.32	1.73	0.37	0.45	2.13	4.34	0	0.62	4.42	0	0	0
PAF1	36.01	53.06	26.18	24.41	0	74.37	0	0	13.43	0.56	9.87	0.13
VPS41	20.38	31.57	19.96	16.5	2.92	0	0	0	0	0	1.44	0
ARHGAP44	13.19	10.54	0.46	0.73	48.9	0.43	2.78	0	7.81	3.08	0	0
ELAC2	13.08	22.33	29.83	42.67	52.31	8.24	1.52	5.62	31.58	0.04	0	0.16
SCIN	26.6	33.81	0.39	0.08	26.69	6.48	0.67	34.88	2.3	0.12	0.77	0
ARSD	68.38	29.65	0.6	0.34	44.18	0.22	0.06	0	1.87	0.08	0.21	5.03
PNPLA4	9.83	8.53	1.91	2	11.87	1.81	0.33	7.5	0.83	0.74	0.39	0
MYH13	3.33	2.04	0	0	1.15	0	4.15	0	1.51	0.74	0	0.05
ADIPOR2	23.17	14.22	9.99	10.18	191.96	0	0	8.95	4.68	1.55	0	0
CDKL3	9.95	8.99	0.29	0.51	0	0	0	0	0	0	0	0
UPP2	4.07	2.9	0	0.01	6.1	0	0	1.94	0	0	0.05	0
PRSS21	2.42	1.37	1.83	1.06	29.17	0	0	0	0	0	0	0
MARK4	9.95	8.06	7.03	9.62	8.23	1.72	0	0.02	9.28	1.39	0	0
PROM1	16.63	2.86	0.22	0.25	0	6.7	0	2.09	0	0	0	0
CCDC124	19.16	42.61	72.09	44.14	0	0	0	0	0	0	5.14	1.32
CEACAM21	3.89	3.65	2.78	6.48	15.85	0	0	0	0	0	1.02	0.04
PAFAH1B1	23.67	48.52	27.61	30.04	11.15	0	2.93	1.15	1.05	0.75	0.21	0.82
NOS2	2.77	3.74	0.02	0	10.02	0.23	0.98	0	0	0.08	0	0
DNAH9	53.5	77.64	0	0.02	97.25	11.9	0	0	9.37	0.32	0	1.09
KIAA0100	24.83	37.73	50.84	62.63	25.31	0.46	0	0.15	0.73	0.3	0	3.22
SLC13A2	5.15	4.91	0	0	1.56	0	0	0	0	0	0	0
GAS7	9.89	7.95	0.06	0.83	8.42	7.68	3.74	0	6.53	0.69	0.23	0.09
TRAPPC6A	0	5.63	3.81	4.18	0	0	0	0	0	0	0	0
MATK	34.79	39.09	11.22	14.01	0	0	0	0	0	0	0	0
CEACAM7	16.67	1.45	0.28	0	0	0	0	0	0	1.12	0	0
CD79B	14.03	8.1	8.95	7.61	66.79	0	0	0	0	0	0	2.46
SCN4A	14.58	6.58	0	0.04	12.16	0.59	4.71	0	0	2.65	0	0.4
ST7L	20.03	2.48	1.68	5.94	2.36	0	6.23	0	0	0.11	0	0
TKTL1	4.01	12.87	0	0.13	0.47	0.25	3.62	0	0	0	0	0
PAX6	31.27	65.72	0	0.82	81.62	0	0.2	0	42.18	3.61	2.08	0.47
RPUSD1	7.45	8.23	16.94	10.84	4.78	0	0	12.54	0	0	0	0
RHBDF1	36.62	32.47	0.67	1.76	72.14	10.23	0	0	0.44	9.53	0	0
LUC7L	30.82	14.97	21.02	19.97	2.75	4.31	1.97	2.58	4.41	0.83	0.16	0.56
CACNA2D2	7.17	6.39	0.14	0.07	0	0	9.47	0	12.57	0.01	0	0
BAIAP3	2	3.27	0.36	0.46	0	0	0	0	0	0	0	0
TSR3	4.97	13.77	54.13	31.47	0	0	0	7.1	0	0	0	1.55
PIGQ	13.97	11.17	8.17	10.13	0.59	0	0	0	10.46	0.2	0.5	1.6
CRAMP1	18.28	5.03	6.18	6.7	0.62	0.56	28.49	0	0.04	1.27	0.63	0.12
TEAD3	3.33	2.48	0.48	0.6	14.14	0	0	0	0	0	0	0.43
SELE	11.84	25.78	0	0.06	0	0	0	0	0	0	0	0
DNAJC11	39.33	62.76	36.15	34.38	13.4	3.27	0.82	0	0	1.31	0.29	3.12
FMO3	10.01	6.8	0	0	34.53	3.19	0	0.22	0	8.66	0	0
MYLIP	6.49	3.92	0.85	0.38	0	0	0	0	0	0	0.06	0.17
NOX1	0.48	0.35	0	0.01	1.49	0	0	0	0	0	0.28	0
E2F2	10.24	3.96	5.69	4.77	4.41	0.62	0	0	4.29	4.53	0.06	0
PSMB1	49.27	62.71	61.82	53.44	0	0	0	0	0	0.38	0	0
SYN1	10.34	15.14	0.37	0	14.41	0	0	0	0	0.03	3.82	0
JARID2	6.12	4.14	10.29	11.81	0.61	0	0	0	0.26	0.29	0.61	0
CDKL5	19.94	12.46	0.25	0.75	6.96	0.8	1.23	0	9.76	0.18	0.5	0
CAMK1G	5.86	1.62	0.08	0.03	16.95	0	2.15	0	0	0	0	0
CDK11A	33.51	34.76	28.44	28.96	46.52	2.8	2.98	9.17	35.14	1.28	2.35	4.47
NADK	23.14	16.53	20.56	22.82	2.69	0.29	1.07	0	0.58	0.08	1.59	0.25
TFAP2B	4.24	5.29	0.14	0.4	5.47	0	1.95	0	0	0	0.03	0
TFAP2D	8.54	2.12	0	0	6.08	0	0	0	0	0.13	0.04	0.19
DLEC1	10.82	5.82	0.3	0.89	3.52	0	8.13	0	3.75	0	0	0
CYTH3	14.36	2.18	2.68	2.89	7.73	0	4.06	7.54	0	0	0	0
ADAM22	11.78	9.92	0.21	0.83	5.26	1.03	1.94	0	2.94	0.7	0.21	0.06
SYPL1	10.2	6.99	2.78	3.04	0	0	0	0	0	0	0	0.33
CYB561	19.87	16.59	2.6	3.1	20.94	0	0	0	0	0.3	0	0
SPAG9	35.58	40.2	21.71	21.42	20.49	0.85	1.88	0	0	0	0.4	0.05
CELSR3	10.9	10.19	2.39	3.12	13.22	2.46	0	0	1.8	1	0	0.13
AASS	9.69	9.9	0.06	0.56	1.35	0	3.89	2.1	0	0.06	0.01	0
PLEKHG6	5.23	9.44	0.3	0.4	0	0	0	0	0	0	0	0
SS18L2	14.59	10.36	7.24	5.78	0	0	0	0	0.45	1.68	0	0
MPND	1.71	0	19.03	16.77	0	0	0	0	0	0	0	0
MGST1	32.4	45.18	0.48	0.5	3.93	0	0.73	8.5	0	3.93	0.06	0
CRY1	18.21	6.09	4.81	4.92	0	0	0	0	0.15	0	0.46	0
PGLYRP1	2.18	3.33	0	0	0	0	0	0	0	0	0	0
NFIX	9.67	7.47	0.32	1.52	0.63	0.05	0.58	1.82	0	0.36	0	0.13
ST3GAL1	36.2	17.13	16.4	15.17	18.37	0.77	1.83	6.27	14.55	0.27	0	0
MMP25	2.01	2.02	7.86	13.41	0.32	0	0	0	0	0.36	0	0.03
IL32	221.37	374.84	668.45	580.66	39.28	0	5.5	0	16.64	4.66	4.88	2.68
PKD1	30.42	14	18.85	17.04	27.66	0.15	6.3	3.14	1.54	3.06	0.12	2.04
MAPK8IP2	11.63	8.05	0	0.02	7.13	2.24	0.52	0.9	0.05	0.63	0	0.81
MED24	53.61	24.51	35.98	26.35	19.42	0	0	0	3.2	0.43	0	0.66
RHOBTB2	9.98	17.19	2.83	4.55	128.93	1.84	0	0	0.1	0.63	0	0.46
HEATR5B	16.15	12.99	3.76	6.65	0	0	0	0	0	0	0.09	0
SEC62	64.99	57.12	60.2	67.69	29.58	0.15	3.35	0	25.79	0.61	0.16	2.57
RPS20	203.33	266.2	736.28	579.66	3.42	58.61	265.7	29.84	71.11	37.38	12.93	12.22
CSDE1	59.7	81.97	104.98	96.3	36.63	0	7.37	3.57	6.39	4.23	0.96	1.24
UBE3C	23.86	14.09	20.69	27.53	27.07	0	12.18	0.02	0.06	0	0.05	0
REV3L	15.67	5.11	3.78	12.11	3.03	0	2.94	0	1.23	0.28	0.02	0.39
TENM1	21.48	5.85	0.3	0.44	5.08	0	1.29	0.01	1.13	0.33	0	0.09
PAX7	18.3	11.96	0.24	0.21	16.62	0.02	3.66	3.05	0.5	0.01	0.46	0.01
MASP2	51.88	15.44	1.28	2.21	10.5	0	0	0	6.61	0.04	0.65	0
IYD	13.42	8.35	0.01	0.05	25.72	0.34	1.48	0	0.2	0.47	0.15	0.2
FAM76A	2.17	2.08	4.26	5.09	0	1.09	0	0	0	0	0	0
TRAF3IP3	67.65	137.08	88.09	84.67	40.71	3.14	6.82	3.14	0.09	0.94	0.91	0.34
POMT2	54.95	41.65	5.37	4.96	89.18	1.21	0	0	0.53	4.57	0.12	0.17
VTA1	7.31	9.05	10.23	6.89	11.79	0	0.04	2.6	0	1.12	0.19	0.36
MLXIPL	9.34	12.21	0	0.39	15.8	0	0.79	0	0	0.77	0	0
BAZ1B	22.23	26.38	47.79	50.42	0	1.1	0	0	1.13	0.68	0.2	0.05
RANBP9	4.95	4.41	9.1	8.29	2.44	2.84	0	0	0	0	0.01	0.15
ETV7	3.62	1.87	2.86	1.64	0	0	0	0	0	0	0	0
SPRTN	12.45	17.42	10.37	8.53	3.31	0	0	0	0	1.97	0	0.56
EEF1AKNMT	11.96	27.74	11.95	10.12	63.8	0	23.02	0	1.91	0	0.01	0
DYRK4	54.9	75.8	8.35	11.93	125.03	0	0.39	0	1.47	0	3.02	0
ZNF207	26.35	49.05	48.14	50.84	34.28	0	0.37	1.42	9.65	11.51	4.1	3.18
UQCRC1	23.39	25.76	30.09	30.18	21.2	0	0.18	11.31	19.98	3.49	0.03	0.11
STARD3NL	4.61	3.39	6.42	6.55	0	0	0	0	0	2.78	0	0
CD9	35.42	18.05	14.21	13.21	63.07	7.18	0	0	0	3.79	1.11	0.13
HHATL	7.3	11.12	0.18	0	7.55	0	0	0	0	0	0	0
NCAPD2	24.08	38.32	52.41	43.33	11.92	0	14.08	0.39	3.91	0	0	2.04
IFFO1	18.61	14.84	5.22	4.51	36.25	1.22	0	0.05	0	0.08	0.16	0.11
GIPR	44.15	14.64	0.7	0.22	52.29	0	0.18	52.6	3.51	0	0.79	0
PHF7	29.42	10.65	4.05	1.89	33.06	0	0	0	44.04	0	0	0
SEMA3G	8.52	8.59	0.02	0.14	9.88	0	0	0	3.55	0	0	0.48
NISCH	28.28	24.26	14.14	17.53	12.75	0	7.35	0	5.36	7.58	1.13	3.69
STAB1	11.94	5.62	0	0.32	22.33	12.73	0	0	0	0.41	0	0.17
FUZ	26.54	17.21	2.13	2.04	19.39	0	0	0	0	0	0	0
SLC6A13	18.09	28.06	0	0.35	6.54	0	0	0	0	0	0	0
IDS	9.13	13.74	12.56	11.56	26.75	0	0	0	0.04	0.58	0.27	0.18
PRSS3	0	0	0.32	0.13	0	0	0	0	0	1.99	0	0
ZNF200	30.49	18.19	3.21	2.68	77.87	0	0.89	0	0	0.68	0.01	0
CD4	46.03	26.5	26.34	21.26	69.7	0	6.02	0	41.82	9.95	0.37	0
LRRC23	36.7	5.26	0.26	1.28	19.13	0	0	6.02	2.71	3.9	0	0.89
BTK	16.87	47.16	1.01	1	21.11	0.04	0.96	0	42.16	0	1.3	0
HFE	29.45	17.69	0.6	0.36	22.35	22.1	0	0.07	26.64	0.62	0	0
SCMH1	1.27	2.5	6.72	4.46	4.52	0	0	0	0	2.87	0.32	0
FYN	75.49	100.44	195.04	189.15	240.03	13.18	66.67	0	0	3.06	0.35	0.46
HIVEP2	28.6	22.99	9.22	15.65	53.96	0.06	4.69	0.01	22.09	3.58	0.7	0.57
FMO1	4.24	1.31	0	0	0	0	1.75	0	0	0	0	0
ELOA	15.7	14.54	17.41	14.81	26.43	0	0	2.69	3.43	0	0.31	0.63
LYPLA2	19.04	18.85	18.18	20.34	32.8	0.17	0	0	0.89	0	0	0.15
CLCN6	27.68	38.91	3.62	3.42	62.52	0.57	0.37	1.16	0.36	0.15	5.2	0.19
MRC2	7.41	4.66	1.05	2.81	9.89	0	0	0	0	0	0	0
NME1-NME2_ENSG00000011052	0	0	4.49	0.98	0	0	0	0	0	0	0	0
SLC6A7	23.61	6.3	0	0.03	6.8	0	0.41	0	0	0	0	0.11
TSPAN9	18.03	5.34	0.02	0.14	2.43	0	0	0.39	2.74	0.59	0	6.61
BTBD7	24.91	22.17	5.68	5.53	20	3.11	7.51	0	7.49	1.37	0.08	0
APBA3	33.12	18.76	9.19	13.13	21.28	0	0.62	0	0	1.05	0.15	0
MKS1	41.87	38.41	5.46	3.94	71.54	1.76	15.79	1.31	8.45	0	0.69	0.43
ABHD5	25.61	8.37	2.65	2.41	21.73	0	0	0	0	0	0.56	0
ANOS1	9.66	3.2	0	0	0	0	0	1.16	4.99	0.43	0	0.15
AKAP8L	17.75	28.32	16.47	16.96	4.15	0	0.23	0.53	1.17	0.3	0.6	0.46
MBTD1	4.67	2.79	2.58	3.17	0.9	0.83	0	0	0	0	0	0
UTP18	11.55	9.67	25.29	23.03	0	0	0	0	0	0	0	0.55
RNF216	11.85	21.39	10.45	14.84	27.9	1.24	4.28	2.92	12.35	0	0.01	0.16
TTC19	18.95	16.6	16.89	7.82	9.38	0	0	0	0	0	0.25	0.38
PTBP1	59.73	56.33	107.65	97.14	50.64	0.16	8.8	0	31.22	1.32	0.94	4.36
DPF1	8.29	8.3	1.01	0.39	5.89	6.27	0	0	0	0.04	0.07	0
SYT7	9.7	3.97	0.45	0.47	4.83	0	0	0	1.74	0.36	0.11	0.23
LARS2	15.57	11.31	4.09	6.39	25.46	0.51	3.04	2.76	1.23	1.19	0.06	0.2
PIK3C2A	3.81	9.53	3.46	4.81	0	0	0	0	0	0	0.18	0.48
